Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2008 07:50:50,09/05/2011 12:43:24,176.000
WQ_OGM_DOC,17/02/2010 12:55:49,17/03/2010 13:31:32,5.000
WQ_PHS_FRP,17/02/2010 12:56:22,17/03/2010 13:31:20,5.000
WQ_DIAG_TOT_TP,17/02/2010 12:55:02,17/03/2010 13:31:13,5.000
TEMP,12/03/2008 10:28:09,09/05/2011 12:43:42,164.000
WQ_DIAG_TOT_TDS,04/01/2008 07:51:15,09/05/2011 12:43:12,176.000
WQ_DIAG_TOT_TURBIDITY,17/02/2010 12:56:10,17/03/2010 13:31:44,5.000
WQ_CAR_PH,17/02/2010 12:55:48,17/03/2010 13:31:17,5.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,17/02/2010 12:56:10,17/03/2010 13:31:44,5.000
WQ_TRC_SS1,17/02/2010 12:56:10,17/03/2010 13:31:44,5.000
OP,17/02/2010 00:00:00,17/03/2010 00:00:00,5.000
