Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2008 08:41:50,29/05/2018 11:14:18,954.000
WQ_OGM_DOC,02/01/2008 08:41:47,29/05/2018 11:13:17,605.000
WQ_OXY_OXY,27/02/2008 11:18:00,29/05/2018 11:06:17,555.000
WQ_NIT_NIT,29/06/2011 11:15:31,25/06/2013 09:54:56,27.000
WQ_PHS_FRP,02/01/2008 08:41:50,29/05/2018 11:13:43,605.000
WQ_DIAG_TOT_TP,02/01/2008 08:41:47,29/05/2018 11:14:09,605.000
WQ_SIL_RSI,02/01/2008 08:42:23,29/05/2018 11:13:17,595.000
WQ_DIAG_TOT_TKN,02/01/2008 08:41:44,29/05/2018 11:13:35,596.000
TEMP,02/01/2008 08:42:08,29/05/2018 11:13:05,1020.000
WQ_DIAG_TOT_TDS,02/01/2008 08:41:31,29/05/2018 11:13:30,940.000
WQ_DIAG_TOT_TURBIDITY,02/01/2008 08:41:49,29/05/2018 11:13:25,605.000
WQ_CAR_PH,02/01/2008 08:41:44,29/05/2018 11:14:26,789.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_DIAG_TOT_TSS,02/01/2008 08:41:49,29/05/2018 11:13:25,605.000
WQ_TRC_SS1,02/01/2008 08:41:49,29/05/2018 11:13:25,605.000
OP,02/01/2008 00:00:00,29/05/2018 00:00:00,605.000
