Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2008 06:20:13,29/05/2018 14:35:32,609.000
WQ_OGM_DOC,17/12/2008 08:56:02,29/05/2018 14:36:10,420.000
WQ_OXY_OXY,28/06/2011 14:09:24,29/05/2018 14:36:09,414.000
WQ_NIT_NIT,17/11/2009 06:25:06,22/05/2018 05:59:01,279.000
WQ_PHS_FRP,19/10/2009 13:53:13,22/05/2018 06:00:23,296.000
WQ_DIAG_TOT_TP,19/10/2009 13:53:38,22/05/2018 05:59:06,295.000
WQ_SIL_RSI,02/07/2013 14:01:01,08/05/2018 15:14:27,78.000
WQ_DIAG_TOT_TKN,19/10/2009 13:53:07,22/05/2018 06:00:02,281.000
TEMP,03/01/2008 08:28:49,29/05/2018 14:35:17,625.000
WQ_DIAG_TOT_TDS,04/01/2008 06:20:37,29/05/2018 14:36:02,609.000
WQ_DIAG_TOT_TURBIDITY,03/01/2008 08:28:53,29/05/2018 14:36:15,469.000
WQ_CAR_PH,26/03/2008 07:35:27,29/05/2018 14:35:17,395.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_DIAG_TOT_TSS,03/01/2008 08:28:53,29/05/2018 14:36:15,469.000
WQ_TRC_SS1,03/01/2008 08:28:53,29/05/2018 14:36:15,469.000
OP,19/10/2009 00:00:00,22/05/2018 00:00:00,292.000
