Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2008 13:19:50,30/05/2018 09:16:07,676.000
WQ_OGM_DOC,21/10/2009 11:21:12,30/05/2018 09:16:17,315.000
WQ_OXY_OXY,29/06/2011 10:36:52,30/05/2018 09:16:00,413.000
WQ_NIT_NIT,21/10/2009 11:22:17,30/05/2018 09:16:14,227.000
WQ_PHS_FRP,21/10/2009 11:22:14,30/05/2018 09:15:28,244.000
WQ_DIAG_TOT_TP,21/10/2009 11:22:23,30/05/2018 09:16:12,243.000
WQ_DIAG_TOT_TKN,21/10/2009 11:22:15,30/05/2018 09:15:12,229.000
TEMP,02/01/2008 13:19:49,30/05/2018 09:15:06,769.000
WQ_DIAG_TOT_TDS,02/01/2008 13:19:48,30/05/2018 09:16:13,676.000
WQ_DIAG_TOT_TURBIDITY,02/01/2008 13:20:03,30/05/2018 09:15:15,583.000
WQ_CAR_PH,02/01/2008 13:19:25,30/05/2018 09:15:30,730.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,02/01/2008 13:20:03,30/05/2018 09:15:15,583.000
WQ_TRC_SS1,02/01/2008 13:20:03,30/05/2018 09:15:15,583.000
OP,21/10/2009 00:00:00,30/05/2018 00:00:00,241.000
