Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2008 08:31:10,30/05/2018 10:32:48,603.000
WQ_OGM_DOC,02/07/2008 10:02:48,23/05/2018 10:57:24,269.000
WQ_OXY_OXY,24/11/2010 10:41:04,30/05/2018 10:32:52,413.000
WQ_NIT_NIT,02/07/2008 10:03:15,26/06/2013 11:02:09,56.000
WQ_PHS_FRP,02/07/2008 10:03:12,26/06/2013 11:01:42,71.000
WQ_DIAG_TOT_TP,02/07/2008 10:03:12,26/06/2013 11:01:46,70.000
WQ_DIAG_TOT_TKN,02/07/2008 10:02:51,26/06/2013 11:01:58,66.000
TEMP,02/01/2008 10:23:10,30/05/2018 10:32:09,609.000
WQ_DIAG_TOT_TDS,04/01/2008 08:30:28,30/05/2018 10:32:42,603.000
WQ_DIAG_TOT_TURBIDITY,02/01/2008 10:23:11,23/05/2018 10:57:08,302.000
WQ_CAR_PH,26/03/2008 11:02:07,30/05/2018 10:32:38,413.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,02/01/2008 10:23:11,23/05/2018 10:57:08,302.000
WQ_TRC_SS1,02/01/2008 10:23:11,23/05/2018 10:57:08,302.000
OP,02/07/2008 00:00:00,26/06/2013 00:00:00,70.000
