Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,24/09/2010 09:30:00,17/11/2010 12:15:00,8.000
WQ_OXY_OXY,19/08/2009 13:00:00,19/11/2010 09:15:00,38.000
CONDUCTIVITY,19/08/2009 13:00:00,19/11/2010 09:15:00,45.000
WQ_NIT_NIT,17/11/2010 12:15:00,17/11/2010 12:15:00,1.000
WQ_PHS_FRP,17/11/2010 12:15:00,17/11/2010 12:15:00,1.000
WQ_GEO_K,24/09/2010 09:30:00,17/11/2010 12:15:00,8.000
WQ_DIAG_TOT_TURBIDITY,21/08/2009 13:15:00,17/11/2010 12:15:00,35.000
WQ_CAR_DIC,19/08/2009 13:00:00,19/11/2010 09:15:00,45.000
WQ_GEO_AL,24/09/2010 09:30:00,17/11/2010 12:15:00,9.000
WQ_DIAG_TOT_TAL,24/09/2010 09:30:00,17/11/2010 12:15:00,9.000
WQ_NIT_AMM,17/11/2010 12:15:00,17/11/2010 12:15:00,1.000
WQ_GEO_CL,24/09/2010 09:30:00,17/11/2010 12:15:00,9.000
WQ_GEO_FEII,24/09/2010 09:30:00,17/11/2010 12:15:00,9.000
WQ_DIAG_TOT_TFE,24/09/2010 09:30:00,17/11/2010 12:15:00,9.000
WQ_GEO_MN,24/09/2010 09:30:00,17/11/2010 12:15:00,9.000
WQ_CAR_PH,19/08/2009 13:00:00,19/11/2010 09:15:00,45.000
WQ_SIL_RSI,24/09/2010 09:30:00,17/11/2010 12:15:00,9.000
WQ_GEO_NA,24/09/2010 09:30:00,17/11/2010 12:15:00,8.000
WQ_GEO_SO4,24/09/2010 09:30:00,17/11/2010 12:15:00,9.000
TEMP,19/08/2009 13:00:00,19/11/2010 09:15:00,39.000
WQ_PHS_FRPADS,17/11/2010 12:15:00,17/11/2010 12:15:00,1.000
WQ_DIAG_TOT_TSS,21/08/2009 13:15:00,17/11/2010 12:15:00,35.000
WQ_TRC_SS1,21/08/2009 13:15:00,17/11/2010 12:15:00,35.000
SAL,19/08/2009 13:00:00,19/11/2010 09:15:00,45.000
