Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,06/01/2010 11:45:00,19/11/2010 09:40:00,33.000
WQ_OXY_OXY,06/01/2010 11:45:00,21/06/2011 13:55:00,54.000
CONDUCTIVITY,06/01/2010 11:45:00,21/06/2011 13:55:00,54.000
WQ_NIT_NIT,06/01/2010 11:45:00,19/11/2010 09:40:00,25.000
WQ_PHS_FRP,28/01/2010 11:50:00,19/11/2010 09:40:00,20.000
WQ_GEO_K,06/01/2010 11:45:00,19/11/2010 09:40:00,33.000
WQ_DIAG_TOT_TKN,06/01/2010 11:45:00,22/06/2010 09:10:00,24.000
WQ_DIAG_TOT_TOC,28/01/2010 11:50:00,22/06/2010 09:10:00,11.000
WQ_DIAG_TOT_TURBIDITY,06/01/2010 11:45:00,19/11/2010 09:40:00,34.000
WQ_CAR_DIC,06/01/2010 11:45:00,21/06/2011 13:55:00,55.000
WQ_GEO_AL,06/01/2010 11:45:00,19/11/2010 09:40:00,33.000
WQ_DIAG_TOT_TAL,06/01/2010 11:45:00,19/11/2010 09:40:00,33.000
WQ_NIT_AMM,06/01/2010 11:45:00,19/11/2010 09:40:00,25.000
WQ_GEO_CL,06/01/2010 11:45:00,19/11/2010 09:40:00,33.000
WQ_GEO_FEII,06/01/2010 11:45:00,19/11/2010 09:40:00,33.000
WQ_DIAG_TOT_TFE,06/01/2010 11:45:00,19/11/2010 09:40:00,33.000
WQ_GEO_MN,28/01/2010 11:50:00,19/11/2010 09:40:00,20.000
WQ_DIAG_TOT_TN,06/01/2010 11:45:00,22/06/2010 09:10:00,24.000
WQ_OGM_DOC,28/01/2010 11:50:00,22/06/2010 09:10:00,11.000
WQ_CAR_PH,06/01/2010 11:45:00,21/06/2011 13:55:00,55.000
WQ_DIAG_TOT_TP,06/01/2010 11:45:00,22/06/2010 09:10:00,24.000
WQ_SIL_RSI,24/09/2010 08:30:00,19/11/2010 09:40:00,9.000
WQ_GEO_NA,06/01/2010 11:45:00,19/11/2010 09:40:00,33.000
WQ_GEO_SO4,06/01/2010 11:45:00,19/11/2010 09:40:00,33.000
TEMP,06/01/2010 11:45:00,21/06/2011 13:55:00,54.000
ALGAL_TOTAL,02/12/2009 00:00:00,20/06/2011 13:55:00,39.000
BGA,02/12/2009 00:00:00,20/06/2011 13:55:00,39.000
WQ_OGM_DON,06/01/2010 11:45:00,22/06/2010 09:10:00,24.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,28/01/2010 11:50:00,19/11/2010 09:40:00,20.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,06/01/2010 11:45:00,19/11/2010 09:40:00,34.000
WQ_TRC_SS1,06/01/2010 11:45:00,19/11/2010 09:40:00,34.000
ON,06/01/2010 11:45:00,11/06/2010 11:45:00,23.000
OP,06/01/2010 11:45:00,11/06/2010 11:45:00,23.000
SAL,06/01/2010 11:45:00,21/06/2011 13:55:00,54.000
