Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_OXY_OXY,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
CONDUCTIVITY,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_NIT_NIT,19/11/2010 09:45:00,19/11/2010 09:45:00,1.000
WQ_PHS_FRP,19/11/2010 09:45:00,19/11/2010 09:45:00,1.000
WQ_GEO_K,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_DIAG_TOT_TURBIDITY,30/09/2009 12:15:00,19/11/2010 09:45:00,17.000
WQ_CAR_DIC,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_GEO_AL,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_DIAG_TOT_TAL,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_NIT_AMM,19/11/2010 09:45:00,19/11/2010 09:45:00,1.000
WQ_GEO_CL,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_GEO_FEII,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_DIAG_TOT_TFE,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_GEO_MN,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_CAR_PH,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_SIL_RSI,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_GEO_NA,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_GEO_SO4,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
TEMP,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
WQ_PHS_FRPADS,19/11/2010 09:45:00,19/11/2010 09:45:00,1.000
WQ_DIAG_TOT_TSS,30/09/2009 12:15:00,19/11/2010 09:45:00,17.000
WQ_TRC_SS1,30/09/2009 12:15:00,19/11/2010 09:45:00,17.000
SAL,24/09/2010 08:45:00,19/11/2010 09:45:00,9.000
