Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_OXY_OXY,21/09/2010 11:05:00,11/04/2013 10:25:00,13.000
CONDUCTIVITY,08/10/2010 11:45:00,11/04/2013 10:25:00,12.000
WQ_GEO_K,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_CAR_DIC,21/09/2010 11:05:00,11/04/2013 10:25:00,13.000
WQ_GEO_AL,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_DIAG_TOT_TAL,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_GEO_CL,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_GEO_FEII,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_DIAG_TOT_TFE,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_GEO_MN,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_CAR_PH,21/09/2010 11:05:00,11/04/2013 10:25:00,13.000
WQ_SIL_RSI,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_GEO_NA,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_GEO_SO4,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
TEMP,21/09/2010 11:05:00,11/04/2013 10:25:00,13.000
WQ_DIAG_TOT_TURBIDITY,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_DIAG_TOT_TSS,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
WQ_TRC_SS1,08/10/2010 11:45:00,27/10/2010 13:09:00,4.000
SAL,08/10/2010 11:45:00,11/04/2013 10:25:00,12.000
