Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,21/09/2010 11:35:00,10/12/2014 12:48:00,18.000
CONDUCTIVITY,21/09/2010 11:35:00,10/12/2014 12:48:00,24.000
WQ_NIT_NIT,12/09/2012 11:45:00,10/12/2014 00:00:00,11.000
WQ_PHS_FRP,12/09/2012 11:45:00,10/12/2014 00:00:00,11.000
WQ_DIAG_TOT_TKN,12/09/2012 11:45:00,10/12/2014 00:00:00,11.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 11:45:00,10/12/2014 12:48:00,17.000
WQ_CAR_DIC,21/09/2010 11:35:00,10/12/2014 12:48:00,20.000
WQ_NIT_AMM,12/09/2012 11:45:00,10/12/2014 00:00:00,11.000
WQ_GEO_CL,12/09/2012 11:45:00,10/12/2014 00:00:00,11.000
WQ_DIAG_TOT_TN,13/11/2014 00:00:00,10/12/2014 00:00:00,2.000
WQ_CAR_PH,21/09/2010 11:35:00,10/12/2014 12:48:00,21.000
WQ_DIAG_TOT_TP,12/09/2012 11:45:00,10/12/2014 00:00:00,11.000
WQ_SIL_RSI,12/09/2012 11:45:00,10/12/2014 00:00:00,11.000
TEMP,21/09/2010 11:35:00,10/12/2014 12:48:00,18.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,12/09/2012 11:45:00,10/12/2014 00:00:00,11.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,12/09/2012 11:45:00,10/12/2014 12:48:00,17.000
WQ_TRC_SS1,12/09/2012 11:45:00,10/12/2014 12:48:00,17.000
ON,12/09/2012 11:45:00,13/11/2014 11:45:00,10.000
OP,12/09/2012 11:45:00,13/11/2014 11:45:00,10.000
SAL,21/09/2010 11:35:00,10/12/2014 12:48:00,24.000
