Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,12/09/2012 12:20:00,09/12/2014 13:53:00,11.000
CONDUCTIVITY,12/09/2012 12:20:00,10/12/2014 00:00:00,16.000
WQ_NIT_NIT,12/09/2012 12:20:00,05/01/2016 12:35:00,17.000
WQ_PHS_FRP,12/09/2012 12:20:00,05/01/2016 12:35:00,17.000
WQ_DIAG_TOT_TKN,12/09/2012 12:20:00,05/01/2016 12:35:00,17.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 12:20:00,05/01/2016 12:35:00,25.000
WQ_CAR_DIC,12/09/2012 12:20:00,09/12/2014 13:53:00,11.000
WQ_NIT_AMM,12/09/2012 12:20:00,05/01/2016 12:35:00,17.000
WQ_GEO_CL,12/09/2012 12:20:00,10/12/2014 00:00:00,9.000
WQ_DIAG_TOT_TN,13/11/2014 00:00:00,05/01/2016 12:35:00,8.000
WQ_CAR_PH,12/09/2012 12:20:00,09/12/2014 13:53:00,12.000
WQ_DIAG_TOT_TP,12/09/2012 12:20:00,05/01/2016 12:35:00,17.000
WQ_SIL_RSI,12/09/2012 12:20:00,05/01/2016 12:35:00,18.000
TEMP,12/09/2012 12:20:00,09/12/2014 13:53:00,11.000
ALGAL_TOTAL,12/09/2012 12:20:00,21/01/2015 14:45:00,14.000
BGA,23/02/2011 11:00:00,21/01/2015 14:45:00,15.000
GEOSMIN,12/12/2012 19:15:00,21/01/2015 14:45:00,13.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,12/09/2012 12:20:00,10/12/2014 00:00:00,9.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,12/09/2012 12:20:00,10/12/2014 00:00:00,16.000
WQ_TRC_SS1,12/09/2012 12:20:00,10/12/2014 00:00:00,16.000
ON,12/09/2012 12:20:00,13/11/2014 12:20:00,8.000
OP,12/09/2012 12:20:00,13/11/2014 12:20:00,8.000
SAL,12/09/2012 12:20:00,10/12/2014 00:00:00,16.000
WQ_PHY_GRN,08/10/2015 14:15:00,05/01/2016 12:35:00,6.000
