Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,25/08/2010 12:11:00,10/12/2014 11:30:00,5.000
CONDUCTIVITY,27/02/2008 17:15:00,10/12/2014 11:30:00,22.000
WQ_NIT_NIT,14/07/2014 00:00:00,15/10/2014 00:00:00,8.000
WQ_PHS_FRP,14/07/2014 00:00:00,15/10/2014 00:00:00,8.000
WQ_DIAG_TOT_TKN,27/02/2008 17:15:00,15/10/2014 00:00:00,16.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 17:15:00,10/12/2014 11:30:00,21.000
WQ_CAR_DIC,25/08/2009 00:00:00,10/12/2014 11:30:00,7.000
WQ_GEO_AL,27/02/2008 17:15:00,23/11/2009 14:25:00,8.000
WQ_DIAG_TOT_TAL,27/02/2008 17:15:00,23/11/2009 14:25:00,8.000
WQ_NIT_AMM,27/02/2008 17:15:00,15/10/2014 00:00:00,16.000
WQ_GEO_CL,22/01/2014 00:00:00,15/10/2014 00:00:00,9.000
WQ_GEO_FEII,27/02/2008 17:15:00,23/11/2009 14:25:00,8.000
WQ_DIAG_TOT_TFE,27/02/2008 17:15:00,23/11/2009 14:25:00,8.000
WQ_DIAG_TOT_TN,21/07/2014 00:00:00,15/10/2014 00:00:00,7.000
WQ_CAR_PH,27/02/2008 17:15:00,10/12/2014 11:30:00,15.000
WQ_DIAG_TOT_TP,27/02/2008 17:15:00,15/10/2014 00:00:00,16.000
WQ_SIL_RSI,14/07/2014 00:00:00,15/10/2014 00:00:00,8.000
TEMP,25/08/2010 12:11:00,10/12/2014 11:30:00,5.000
WQ_OGM_DON,21/07/2014 00:00:00,15/10/2014 00:00:00,7.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,14/07/2014 00:00:00,15/10/2014 00:00:00,8.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,27/02/2008 17:15:00,10/12/2014 11:30:00,21.000
WQ_TRC_SS1,27/02/2008 17:15:00,10/12/2014 11:30:00,21.000
ON,27/02/2008 17:15:00,02/10/2014 17:15:00,15.000
OP,27/02/2008 17:15:00,02/10/2014 17:15:00,15.000
SAL,27/02/2008 17:15:00,10/12/2014 11:30:00,22.000
