Variable Name,Min Date,Max Date,Number of Samples
CONDUCTIVITY,27/02/2008 12:15:00,03/06/2010 10:50:00,9.000
WQ_DIAG_TOT_TKN,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
WQ_CAR_DIC,25/08/2009 00:00:00,03/06/2010 10:50:00,3.000
WQ_GEO_AL,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
WQ_DIAG_TOT_TAL,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
WQ_NIT_AMM,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
WQ_GEO_FEII,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
WQ_DIAG_TOT_TFE,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
WQ_CAR_PH,27/02/2008 12:15:00,03/06/2010 10:50:00,9.000
WQ_DIAG_TOT_TP,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
SAL,27/02/2008 12:15:00,03/06/2010 10:50:00,9.000
TEMP,27/02/2008 12:15:00,03/06/2010 10:50:00,2.000
WQ_DIAG_TOT_TSS,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
WQ_TRC_SS1,27/02/2008 12:15:00,23/11/2009 10:30:00,8.000
ON,27/02/2008 12:15:00,25/08/2009 12:15:00,7.000
WQ_OXY_OXY,03/06/2010 10:50:00,03/06/2010 10:50:00,1.000
