Variable Name,Min Date,Max Date,Number of Samples
CONDUCTIVITY,27/02/2008 13:30:00,03/08/2010 11:30:00,4.000
WQ_CAR_PH,27/02/2008 13:30:00,03/08/2010 11:30:00,4.000
SAL,27/02/2008 13:30:00,03/08/2010 11:30:00,4.000
TEMP,27/02/2008 13:30:00,03/08/2010 11:30:00,4.000
WQ_GEO_CA,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_OXY_OXY,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_GEO_K,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_CAR_DIC,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_GEO_AL,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_DIAG_TOT_TAL,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_GEO_CL,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_GEO_FEII,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_DIAG_TOT_TFE,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_GEO_MN,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_SIL_RSI,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_GEO_NA,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_GEO_SO4,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_DIAG_TOT_TURBIDITY,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_DIAG_TOT_TSS,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
WQ_TRC_SS1,01/07/2010 11:40:00,03/08/2010 11:30:00,3.000
