Variable Name,Min Date,Max Date,Number of Samples
CONDUCTIVITY,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_DIAG_TOT_TKN,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_CAR_DIC,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_GEO_AL,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_DIAG_TOT_TAL,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_NIT_AMM,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_GEO_CA,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_GEO_CL,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_GEO_FEII,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_DIAG_TOT_TFE,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_GEO_MG,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_GEO_MN,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_DIAG_TOT_TN,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_CAR_PH,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_DIAG_TOT_TP,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_GEO_K,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_GEO_NA,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
WQ_GEO_SO4,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
SAL,22/05/2009 00:06:00,20/08/2009 13:10:00,3.000
