Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,09/11/2009 13:00:00,14/02/2013 08:45:00,9.000
WQ_OXY_OXY,09/04/2009 11:00:00,18/06/2015 13:50:00,209.000
CONDUCTIVITY,09/04/2009 11:00:00,16/10/2014 10:25:00,202.000
WQ_NIT_NIT,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_PHS_FRP,15/06/2010 15:24:00,21/02/2011 13:03:00,4.000
WQ_GEO_K,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_DIAG_TOT_TKN,25/01/2010 09:45:00,21/02/2011 13:03:00,7.000
WQ_DIAG_TOT_TURBIDITY,09/04/2009 11:00:00,18/06/2015 13:50:00,17.000
WQ_CAR_DIC,09/04/2009 11:00:00,16/10/2014 10:25:00,204.000
WQ_GEO_AL,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_DIAG_TOT_TAL,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_NIT_AMM,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_GEO_CL,25/01/2010 09:45:00,21/02/2011 13:03:00,7.000
WQ_GEO_FEII,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_DIAG_TOT_TFE,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_GEO_MG,09/11/2009 13:00:00,09/11/2009 13:00:00,1.000
WQ_GEO_MN,09/11/2009 13:00:00,21/02/2011 13:03:00,3.000
WQ_DIAG_TOT_TN,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_CAR_PH,09/04/2009 11:00:00,16/10/2014 10:25:00,205.000
WQ_DIAG_TOT_TP,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_SIL_RSI,23/08/2010 13:00:00,21/02/2011 13:03:00,2.000
WQ_GEO_NA,09/11/2009 13:00:00,21/02/2011 13:03:00,8.000
WQ_GEO_SO4,25/01/2010 09:45:00,21/02/2011 13:03:00,7.000
TEMP,09/04/2009 11:00:00,18/06/2015 13:50:00,213.000
WQ_OGM_DON,09/11/2009 13:00:00,21/02/2011 13:00:00,8.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,15/06/2010 15:24:00,21/02/2011 13:03:00,4.000
PH,15/07/2014 09:50:00,18/06/2015 13:50:00,12.000
SAL,09/04/2009 11:00:00,16/10/2014 10:25:00,202.000
WQ_PHY_GRN,15/07/2014 09:50:00,18/06/2015 13:50:00,12.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_PHY_TCHLA,15/07/2014 09:50:00,18/06/2015 13:50:00,12.000
WQ_DIAG_TOT_TSS,09/04/2009 11:00:00,18/06/2015 13:50:00,17.000
WQ_TRC_SS1,09/04/2009 11:00:00,18/06/2015 13:50:00,17.000
ON,25/01/2010 09:45:00,21/02/2011 09:45:00,7.000
OP,09/11/2009 13:00:00,21/02/2011 13:00:00,8.000
WQ_PHY_BGA,15/07/2014 09:50:00,18/06/2015 13:50:00,12.000
WQ_PHY_FDIAT,15/07/2014 09:50:00,18/06/2015 13:50:00,12.000
WQ_PHY_MDIAT,15/07/2014 09:50:00,18/06/2015 13:50:00,12.000
WQ_PHY_KARLO,15/07/2014 09:50:00,18/06/2015 13:50:00,12.000
