Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,20/01/2009 13:05:00,22/06/2010 11:25:00,24.000
WQ_OXY_OXY,04/08/2008 15:24:00,16/08/2010 11:50:00,148.000
CONDUCTIVITY,04/08/2008 15:24:00,16/08/2010 11:50:00,172.000
WQ_NIT_NIT,28/01/2010 16:00:00,22/06/2010 11:25:00,11.000
WQ_PHS_FRP,28/01/2010 16:00:00,22/06/2010 11:25:00,11.000
WQ_GEO_K,20/01/2009 13:05:00,22/06/2010 11:25:00,24.000
WQ_DIAG_TOT_TKN,04/08/2008 15:24:00,22/06/2010 11:25:00,31.000
WQ_DIAG_TOT_TOC,04/08/2008 15:24:00,22/06/2010 11:25:00,22.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 15:24:00,22/06/2010 11:25:00,100.000
WQ_CAR_DIC,04/08/2008 15:24:00,16/08/2010 11:50:00,131.000
WQ_GEO_AL,20/01/2009 13:05:00,22/06/2010 11:25:00,26.000
WQ_DIAG_TOT_TAL,20/01/2009 13:05:00,22/06/2010 11:25:00,26.000
WQ_NIT_AMM,04/08/2008 15:24:00,22/06/2010 11:25:00,31.000
WQ_GEO_CALCITE,30/09/2009 14:50:00,25/11/2009 11:40:00,3.000
WQ_GEO_CL,20/01/2009 13:05:00,22/06/2010 11:25:00,26.000
WQ_PHY_GRN,04/08/2008 15:24:00,28/10/2009 13:35:00,16.000
WQ_GEO_FEII,20/01/2009 13:05:00,22/06/2010 11:25:00,26.000
WQ_DIAG_TOT_TFE,20/01/2009 13:05:00,22/06/2010 11:25:00,26.000
WQ_GEO_MG,20/01/2009 13:05:00,19/12/2009 14:45:00,13.000
WQ_GEO_MN,20/01/2009 13:05:00,22/06/2010 11:25:00,25.000
WQ_DIAG_TOT_TN,04/08/2008 15:24:00,22/06/2010 11:25:00,31.000
WQ_OGM_DOC,04/08/2008 15:24:00,22/06/2010 11:25:00,30.000
WQ_CAR_PH,04/08/2008 15:24:00,16/08/2010 11:50:00,164.000
WQ_DIAG_TOT_TP,04/08/2008 15:24:00,22/06/2010 11:25:00,31.000
WQ_GEO_NA,20/01/2009 13:05:00,22/06/2010 11:25:00,24.000
WQ_GEO_SO4,04/08/2008 15:24:00,22/06/2010 11:25:00,31.000
WQ_DIAG_TOT_TSS,04/08/2008 15:24:00,19/12/2009 14:40:00,19.000
TEMP,04/08/2008 15:24:00,16/08/2010 11:50:00,168.000
ALGAL_TOTAL,28/01/2010 16:00:00,22/06/2010 11:25:00,11.000
BGA,28/01/2010 16:00:00,22/06/2010 11:25:00,11.000
WQ_OGM_DON,04/08/2008 15:24:00,22/06/2010 11:25:00,31.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,28/01/2010 16:00:00,22/06/2010 11:25:00,11.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_PHY_TCHLA,04/08/2008 15:24:00,28/10/2009 13:35:00,16.000
WQ_TRC_SS1,04/08/2008 15:24:00,22/06/2010 11:25:00,100.000
ON,04/08/2008 15:24:00,11/06/2010 15:24:00,30.000
OP,04/08/2008 15:24:00,11/06/2010 15:24:00,30.000
SAL,04/08/2008 15:24:00,16/08/2010 11:50:00,172.000
WQ_PHY_BGA,04/08/2008 15:24:00,28/10/2009 13:35:00,16.000
WQ_PHY_FDIAT,04/08/2008 15:24:00,28/10/2009 13:35:00,16.000
WQ_PHY_MDIAT,04/08/2008 15:24:00,28/10/2009 13:35:00,16.000
WQ_PHY_KARLO,04/08/2008 15:24:00,28/10/2009 13:35:00,16.000
