Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,16/11/2009 12:50:00,14/02/2013 12:30:00,40.000
WQ_OXY_OXY,14/01/2009 14:55:00,18/06/2015 11:45:00,175.000
CONDUCTIVITY,14/01/2009 14:55:00,16/10/2014 13:00:00,174.000
WQ_NIT_NIT,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_PHS_FRP,22/02/2010 14:10:00,13/07/2011 12:00:00,24.000
WQ_GEO_K,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_DIAG_TOT_TKN,04/01/2010 13:25:00,13/07/2011 12:00:00,32.000
WQ_DIAG_TOT_TURBIDITY,07/02/2011 12:00:00,18/06/2015 11:45:00,20.000
WQ_CAR_DIC,14/01/2009 14:55:00,16/10/2014 13:00:00,174.000
WQ_GEO_AL,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_DIAG_TOT_TAL,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_NIT_AMM,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_GEO_CL,04/01/2010 13:25:00,13/07/2011 12:00:00,32.000
WQ_GEO_FEII,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_DIAG_TOT_TFE,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_GEO_MG,16/11/2009 12:50:00,29/12/2009 11:50:00,7.000
WQ_GEO_MN,16/11/2009 12:50:00,13/07/2011 12:00:00,8.000
WQ_DIAG_TOT_TN,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_CAR_PH,14/01/2009 14:55:00,16/10/2014 13:00:00,176.000
WQ_DIAG_TOT_TP,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_SIL_RSI,07/02/2011 12:00:00,13/07/2011 12:00:00,6.000
WQ_GEO_NA,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_GEO_SO4,04/01/2010 13:25:00,13/07/2011 12:00:00,32.000
TEMP,14/01/2009 14:55:00,18/06/2015 11:45:00,181.000
WQ_OGM_DON,16/11/2009 12:50:00,13/07/2011 12:00:00,39.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,22/02/2010 14:10:00,13/07/2011 12:00:00,24.000
PH,15/07/2014 11:39:00,18/06/2015 11:45:00,12.000
SAL,14/01/2009 14:55:00,16/10/2014 13:00:00,174.000
WQ_PHY_GRN,15/07/2014 11:39:00,18/06/2015 11:45:00,12.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_PHY_TCHLA,15/07/2014 11:39:00,18/06/2015 11:45:00,12.000
WQ_DIAG_TOT_TSS,07/02/2011 12:00:00,18/06/2015 11:45:00,20.000
WQ_TRC_SS1,07/02/2011 12:00:00,18/06/2015 11:45:00,20.000
ON,04/01/2010 13:25:00,30/05/2011 13:25:00,31.000
OP,16/11/2009 12:50:00,30/05/2011 12:50:00,38.000
WQ_PHY_BGA,15/07/2014 11:39:00,18/06/2015 11:45:00,12.000
WQ_PHY_FDIAT,15/07/2014 11:39:00,18/06/2015 11:45:00,12.000
WQ_PHY_MDIAT,15/07/2014 11:39:00,18/06/2015 11:45:00,12.000
WQ_PHY_KARLO,15/07/2014 11:39:00,18/06/2015 11:45:00,12.000
