Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,09/11/2009 11:50:00,14/02/2013 12:00:00,44.000
WQ_OXY_OXY,08/05/2009 15:20:00,16/10/2014 12:20:00,211.000
CONDUCTIVITY,08/05/2009 15:20:00,16/10/2014 12:20:00,217.000
WQ_NIT_NIT,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_PHS_FRP,22/02/2010 13:25:00,30/05/2011 13:30:00,28.000
WQ_GEO_K,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_DIAG_TOT_TKN,04/01/2010 12:45:00,30/05/2011 13:30:00,35.000
WQ_DIAG_TOT_TURBIDITY,26/07/2010 11:52:00,16/10/2014 12:20:00,13.000
WQ_CAR_DIC,08/05/2009 15:20:00,16/10/2014 12:20:00,214.000
WQ_GEO_AL,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_DIAG_TOT_TAL,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_NIT_AMM,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_GEO_CL,04/01/2010 12:45:00,30/05/2011 13:30:00,35.000
WQ_GEO_FEII,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_DIAG_TOT_TFE,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_GEO_MG,09/11/2009 11:50:00,29/12/2009 11:15:00,8.000
WQ_GEO_MN,09/11/2009 11:50:00,30/05/2011 13:30:00,12.000
WQ_DIAG_TOT_TN,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_CAR_PH,15/05/2009 10:30:00,16/10/2014 12:20:00,217.000
WQ_DIAG_TOT_TP,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_SIL_RSI,26/07/2010 11:52:00,30/05/2011 13:30:00,9.000
WQ_GEO_NA,09/11/2009 11:50:00,30/05/2011 13:30:00,43.000
WQ_GEO_SO4,04/01/2010 12:45:00,30/05/2011 13:30:00,35.000
TEMP,08/05/2009 15:20:00,16/10/2014 12:20:00,219.000
WQ_OGM_DON,09/11/2009 11:50:00,30/05/2011 11:50:00,43.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,22/02/2010 13:25:00,30/05/2011 13:30:00,28.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,26/07/2010 11:52:00,16/10/2014 12:20:00,13.000
WQ_TRC_SS1,26/07/2010 11:52:00,16/10/2014 12:20:00,13.000
ON,04/01/2010 12:45:00,30/05/2011 12:45:00,35.000
OP,09/11/2009 11:50:00,30/05/2011 11:50:00,43.000
SAL,08/05/2009 15:20:00,16/10/2014 12:20:00,217.000
