Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,16/04/2010 14:57:00,12/01/2011 10:00:00,2.000
CONDUCTIVITY,05/08/2009 00:00:00,12/01/2011 10:00:00,3.000
WQ_DIAG_TOT_TKN,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_CAR_DIC,05/08/2009 00:00:00,12/01/2011 10:00:00,3.000
WQ_GEO_AL,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_DIAG_TOT_TAL,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_NIT_AMM,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_GEO_CA,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_GEO_CL,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_GEO_FEII,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_DIAG_TOT_TFE,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_GEO_MG,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_GEO_MN,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_DIAG_TOT_TN,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_CAR_PH,05/08/2009 00:00:00,12/01/2011 10:00:00,3.000
WQ_DIAG_TOT_TP,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_GEO_K,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_GEO_NA,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
WQ_GEO_SO4,05/08/2009 00:00:00,05/08/2009 00:00:00,1.000
TEMP,16/04/2010 14:57:00,12/01/2011 10:00:00,2.000
SAL,05/08/2009 00:00:00,12/01/2011 10:00:00,3.000
