Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_OXY_OXY,09/04/2010 12:40:00,26/04/2012 10:30:00,14.000
CONDUCTIVITY,09/04/2010 12:40:00,26/04/2012 10:30:00,16.000
WQ_GEO_K,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_CAR_DIC,09/04/2010 12:40:00,26/04/2012 10:30:00,16.000
WQ_GEO_AL,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_DIAG_TOT_TAL,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_GEO_CL,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_GEO_FEII,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_DIAG_TOT_TFE,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_GEO_MN,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_CAR_PH,09/04/2010 12:40:00,26/04/2012 10:30:00,16.000
WQ_SIL_RSI,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_GEO_NA,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_GEO_SO4,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
TEMP,09/04/2010 12:40:00,26/04/2012 10:30:00,16.000
WQ_DIAG_TOT_TURBIDITY,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_DIAG_TOT_TSS,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
WQ_TRC_SS1,12/01/2011 09:00:00,12/01/2011 09:00:00,1.000
SAL,09/04/2010 12:40:00,26/04/2012 10:30:00,16.000
