Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,30/11/2009 09:45:00,14/02/2013 13:05:00,42.000
WQ_OXY_OXY,26/11/2009 09:00:00,03/10/2013 11:54:00,150.000
CONDUCTIVITY,26/11/2009 09:00:00,03/10/2013 11:54:00,153.000
WQ_NIT_NIT,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_PHS_FRP,22/02/2010 12:25:00,11/08/2011 11:55:00,29.000
WQ_GEO_K,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_DIAG_TOT_TKN,04/01/2010 12:15:00,11/08/2011 11:55:00,36.000
WQ_DIAG_TOT_TURBIDITY,05/07/2010 15:40:00,14/02/2013 13:05:00,11.000
WQ_CAR_DIC,26/11/2009 09:00:00,03/10/2013 11:54:00,155.000
WQ_GEO_AL,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_DIAG_TOT_TAL,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_NIT_AMM,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_GEO_CL,04/01/2010 12:15:00,11/08/2011 11:55:00,36.000
WQ_GEO_FEII,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_DIAG_TOT_TFE,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_GEO_MG,30/11/2009 09:45:00,29/12/2009 10:45:00,5.000
WQ_GEO_MN,05/07/2010 15:40:00,11/08/2011 11:55:00,10.000
WQ_DIAG_TOT_TN,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_CAR_PH,26/11/2009 09:00:00,03/10/2013 11:54:00,156.000
WQ_DIAG_TOT_TP,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_SIL_RSI,05/07/2010 15:40:00,11/08/2011 11:55:00,10.000
WQ_GEO_NA,30/11/2009 09:45:00,11/08/2011 11:55:00,41.000
WQ_GEO_SO4,04/01/2010 12:15:00,11/08/2011 11:55:00,36.000
TEMP,26/11/2009 09:00:00,03/10/2013 11:54:00,155.000
WQ_OGM_DON,30/11/2009 09:45:00,11/08/2011 09:45:00,41.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,22/02/2010 12:25:00,11/08/2011 11:55:00,29.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,05/07/2010 15:40:00,14/02/2013 13:05:00,11.000
WQ_TRC_SS1,05/07/2010 15:40:00,14/02/2013 13:05:00,11.000
ON,04/01/2010 12:15:00,14/06/2011 12:15:00,35.000
OP,30/11/2009 09:45:00,11/08/2011 09:45:00,41.000
SAL,26/11/2009 09:00:00,03/10/2013 11:54:00,153.000
