Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,10/11/2009 10:15:00,14/02/2013 14:20:00,37.000
WQ_OXY_OXY,14/05/2009 10:30:00,18/06/2015 10:15:00,171.000
CONDUCTIVITY,14/05/2009 10:30:00,16/10/2014 14:35:00,164.000
WQ_NIT_NIT,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_PHS_FRP,22/02/2010 11:10:00,07/02/2011 10:00:00,20.000
WQ_GEO_K,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_DIAG_TOT_TKN,07/01/2010 11:05:00,07/02/2011 10:00:00,28.000
WQ_DIAG_TOT_TURBIDITY,15/11/2010 09:30:00,18/06/2015 10:15:00,16.000
WQ_CAR_DIC,14/05/2009 10:30:00,16/10/2014 14:35:00,166.000
WQ_GEO_AL,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_DIAG_TOT_TAL,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_NIT_AMM,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_GEO_CL,07/01/2010 11:05:00,07/02/2011 10:00:00,28.000
WQ_GEO_FEII,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_DIAG_TOT_TFE,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_GEO_MG,10/11/2009 10:15:00,29/12/2009 10:10:00,8.000
WQ_GEO_MN,10/11/2009 10:15:00,07/02/2011 10:00:00,5.000
WQ_DIAG_TOT_TN,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_CAR_PH,14/05/2009 10:30:00,16/10/2014 14:35:00,167.000
WQ_DIAG_TOT_TP,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_SIL_RSI,15/11/2010 09:30:00,07/02/2011 10:00:00,2.000
WQ_GEO_NA,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_GEO_SO4,07/01/2010 11:05:00,07/02/2011 10:00:00,28.000
TEMP,14/05/2009 10:30:00,18/06/2015 10:15:00,174.000
WQ_OGM_DON,10/11/2009 10:15:00,07/02/2011 10:00:00,36.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,22/02/2010 11:10:00,07/02/2011 10:00:00,20.000
PH,15/07/2014 13:10:00,18/06/2015 10:15:00,12.000
SAL,14/05/2009 10:30:00,16/10/2014 14:35:00,164.000
WQ_PHY_GRN,15/07/2014 13:10:00,18/06/2015 10:15:00,12.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_PHY_TCHLA,15/07/2014 13:10:00,18/06/2015 10:15:00,12.000
WQ_DIAG_TOT_TSS,15/11/2010 09:30:00,18/06/2015 10:15:00,16.000
WQ_TRC_SS1,15/11/2010 09:30:00,18/06/2015 10:15:00,16.000
ON,07/01/2010 11:05:00,15/11/2010 11:05:00,27.000
OP,10/11/2009 10:15:00,15/11/2010 10:15:00,35.000
WQ_PHY_BGA,15/07/2014 13:10:00,18/06/2015 10:15:00,12.000
WQ_PHY_FDIAT,15/07/2014 13:10:00,18/06/2015 10:15:00,12.000
WQ_PHY_MDIAT,15/07/2014 13:10:00,18/06/2015 10:15:00,12.000
WQ_PHY_KARLO,15/07/2014 13:10:00,18/06/2015 10:15:00,12.000
