Variable Name,Min Date,Max Date,Number of Samples
CONDUCTIVITY,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_DIAG_TOT_TKN,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_CAR_DIC,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_GEO_AL,19/05/2009 00:03:00,23/11/2009 10:50:00,15.000
WQ_DIAG_TOT_TAL,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_NIT_AMM,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_GEO_CA,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_GEO_CL,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_GEO_FEII,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_DIAG_TOT_TFE,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_GEO_MG,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_GEO_MN,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_DIAG_TOT_TN,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_CAR_PH,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_DIAG_TOT_TP,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_GEO_K,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_GEO_NA,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
WQ_GEO_SO4,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
ON,19/05/2009 00:03:00,23/11/2009 00:03:00,16.000
SAL,19/05/2009 00:03:00,23/11/2009 10:50:00,16.000
