Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,04/08/2008 19:14:00,24/01/2011 10:23:00,48.000
WQ_OXY_OXY,04/08/2008 19:14:00,16/10/2014 14:00:00,181.000
CONDUCTIVITY,04/08/2008 19:14:00,16/10/2014 14:00:00,201.000
WQ_NIT_NIT,25/01/2010 15:30:00,24/01/2011 10:23:00,16.000
WQ_PHS_FRP,25/01/2010 15:30:00,24/01/2011 10:23:00,16.000
WQ_GEO_K,04/08/2008 19:14:00,24/01/2011 10:23:00,48.000
WQ_DIAG_TOT_TKN,04/08/2008 19:14:00,24/01/2011 10:23:00,49.000
WQ_DIAG_TOT_TOC,04/08/2008 19:14:00,21/06/2010 10:42:00,22.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 19:14:00,16/10/2014 14:00:00,21.000
WQ_CAR_DIC,04/08/2008 19:14:00,16/10/2014 14:00:00,209.000
WQ_GEO_AL,04/08/2008 19:14:00,24/01/2011 10:23:00,52.000
WQ_DIAG_TOT_TAL,04/08/2008 19:14:00,24/01/2011 10:23:00,51.000
WQ_NIT_AMM,04/08/2008 19:14:00,24/01/2011 10:23:00,49.000
WQ_GEO_CALCITE,04/08/2009 12:00:00,25/11/2009 11:15:00,5.000
WQ_GEO_CL,04/08/2008 19:14:00,24/01/2011 10:23:00,53.000
WQ_PHY_GRN,04/08/2008 19:14:00,28/10/2009 10:45:00,15.000
WQ_GEO_FEII,04/08/2008 19:14:00,24/01/2011 10:23:00,51.000
WQ_DIAG_TOT_TFE,04/08/2008 19:14:00,24/01/2011 10:23:00,52.000
WQ_GEO_MG,04/08/2008 19:14:00,29/12/2009 09:30:00,32.000
WQ_GEO_MN,04/08/2008 19:14:00,24/01/2011 10:23:00,47.000
WQ_DIAG_TOT_TN,04/08/2008 19:14:00,24/01/2011 10:23:00,49.000
WQ_OGM_DOC,04/08/2008 19:14:00,21/06/2010 10:42:00,29.000
WQ_CAR_PH,04/08/2008 19:14:00,16/10/2014 14:00:00,208.000
WQ_DIAG_TOT_TP,04/08/2008 19:14:00,24/01/2011 10:23:00,49.000
WQ_SIL_RSI,28/09/2010 11:16:00,24/01/2011 10:23:00,5.000
WQ_GEO_NA,04/08/2008 19:14:00,24/01/2011 10:23:00,48.000
WQ_GEO_SO4,04/08/2008 19:14:00,24/01/2011 10:23:00,48.000
WQ_DIAG_TOT_TSS,04/08/2008 19:14:00,19/12/2009 11:55:00,18.000
TEMP,04/08/2008 19:14:00,16/10/2014 14:00:00,199.000
ALGAL_TOTAL,25/01/2010 15:30:00,21/06/2010 10:42:00,11.000
BGA,25/01/2010 15:30:00,21/06/2010 10:42:00,11.000
WQ_OGM_DON,04/08/2008 19:14:00,24/01/2011 10:23:00,49.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,25/01/2010 15:30:00,24/01/2011 10:23:00,16.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_PHY_TCHLA,04/08/2008 19:14:00,28/10/2009 10:45:00,15.000
WQ_TRC_SS1,04/08/2008 19:14:00,16/10/2014 14:00:00,21.000
ON,04/08/2008 19:14:00,29/11/2010 19:14:00,48.000
OP,04/08/2008 19:14:00,29/11/2010 19:14:00,48.000
SAL,04/08/2008 19:14:00,16/10/2014 14:00:00,201.000
WQ_PHY_BGA,04/08/2008 19:14:00,28/10/2009 10:45:00,15.000
WQ_PHY_FDIAT,04/08/2008 19:14:00,28/10/2009 10:45:00,15.000
WQ_PHY_MDIAT,04/08/2008 19:14:00,28/10/2009 10:45:00,15.000
WQ_PHY_KARLO,04/08/2008 19:14:00,28/10/2009 10:45:00,15.000
