Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,18/12/2013 09:59:00,26/06/2014 12:30:00,4.000
CONDUCTIVITY,19/05/2009 00:02:00,26/06/2014 12:30:00,10.000
WQ_DIAG_TOT_TKN,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_CAR_DIC,19/05/2009 00:02:00,26/06/2014 12:30:00,7.000
WQ_GEO_AL,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_DIAG_TOT_TAL,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_NIT_AMM,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_GEO_CA,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_GEO_CL,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_GEO_FEII,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_DIAG_TOT_TFE,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_GEO_MG,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_GEO_MN,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_DIAG_TOT_TN,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_CAR_PH,19/05/2009 00:02:00,18/09/2014 00:00:00,12.000
WQ_DIAG_TOT_TP,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_GEO_K,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_GEO_NA,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
WQ_GEO_SO4,19/05/2009 00:02:00,19/05/2009 00:02:00,1.000
TEMP,26/05/2009 16:15:00,26/06/2014 12:30:00,10.000
SAL,19/05/2009 00:02:00,26/06/2014 12:30:00,10.000
