Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,15/07/2014 10:25:00,20/04/2016 12:45:00,11.000
WQ_PHY_GRN,15/10/2015 09:10:00,20/04/2016 12:45:00,9.000
WQ_OGM_DOC,15/07/2014 10:25:00,20/04/2016 12:45:00,8.000
WQ_PHS_FRP,15/07/2014 10:25:00,20/04/2016 12:45:00,11.000
WQ_NIT_NIT,15/07/2014 10:25:00,20/04/2016 12:45:00,11.000
WQ_DIAG_TOT_TP,15/07/2014 10:25:00,20/04/2016 12:45:00,11.000
WQ_SIL_RSI,18/09/2014 09:40:00,09/12/2014 13:00:00,3.000
WQ_DIAG_TOT_TKN,15/07/2014 10:25:00,20/04/2016 12:45:00,11.000
WQ_DIAG_TOT_TURBIDITY,15/07/2014 10:25:00,20/04/2016 12:45:00,8.000
pH,15/07/2014 10:25:00,20/04/2016 12:45:00,8.000
