Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_OXY_OXY,18/08/2010 12:03:00,01/05/2012 12:00:00,39.000
CONDUCTIVITY,18/08/2010 12:03:00,01/05/2012 12:00:00,38.000
WQ_GEO_K,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_CAR_DIC,31/08/2010 11:41:00,01/05/2012 12:00:00,37.000
WQ_GEO_AL,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_DIAG_TOT_TAL,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_GEO_CL,05/07/2011 12:21:00,05/07/2011 12:21:00,1.000
WQ_GEO_FEII,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_DIAG_TOT_TFE,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_GEO_MN,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_CAR_PH,18/08/2010 12:03:00,01/05/2012 12:00:00,39.000
WQ_SIL_RSI,05/07/2011 12:21:00,05/07/2011 12:21:00,1.000
WQ_GEO_NA,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_GEO_SO4,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
TEMP,18/08/2010 12:03:00,01/05/2012 12:00:00,39.000
WQ_DIAG_TOT_TURBIDITY,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_DIAG_TOT_TSS,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
WQ_TRC_SS1,05/07/2011 12:21:00,05/08/2011 11:40:00,2.000
SAL,18/08/2010 12:03:00,01/05/2012 12:00:00,38.000
