Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,31/08/2010 12:54:00,10/08/2012 11:35:00,39.000
WQ_OXY_OXY,31/08/2010 12:54:00,29/06/2015 10:05:00,87.000
CONDUCTIVITY,31/08/2010 12:54:00,23/12/2014 09:45:00,87.000
WQ_GEO_K,31/08/2010 12:54:00,10/08/2012 11:35:00,39.000
WQ_CAR_DIC,31/08/2010 12:54:00,23/12/2014 09:45:00,90.000
WQ_GEO_AL,08/09/2010 10:30:00,15/04/2014 00:00:00,57.000
WQ_DIAG_TOT_TAL,31/08/2010 12:54:00,15/04/2014 00:00:00,58.000
WQ_GEO_CL,31/08/2010 12:54:00,25/06/2013 09:55:00,51.000
WQ_GEO_FEII,08/09/2010 10:30:00,15/04/2014 00:00:00,57.000
WQ_DIAG_TOT_TFE,31/08/2010 12:54:00,15/04/2014 00:00:00,58.000
WQ_GEO_MN,08/09/2010 10:30:00,15/04/2014 00:00:00,57.000
WQ_CAR_PH,31/08/2010 12:54:00,23/12/2014 09:45:00,90.000
WQ_SIL_RSI,31/08/2010 12:54:00,10/08/2012 11:35:00,38.000
WQ_GEO_NA,31/08/2010 12:54:00,10/08/2012 11:35:00,39.000
WQ_GEO_SO4,31/08/2010 12:54:00,25/06/2013 09:55:00,52.000
TEMP,31/08/2010 12:54:00,29/06/2015 10:05:00,88.000
WQ_DIAG_TOT_TURBIDITY,31/08/2010 12:54:00,29/06/2015 10:05:00,51.000
PH,17/07/2014 10:41:00,29/06/2015 10:05:00,12.000
SAL,31/08/2010 12:54:00,23/12/2014 09:45:00,87.000
WQ_PHY_GRN,17/07/2014 10:41:00,29/06/2015 10:05:00,12.000
WQ_DIAG_PHY_TCHLA,17/07/2014 10:41:00,29/06/2015 10:05:00,12.000
WQ_DIAG_TOT_TSS,31/08/2010 12:54:00,29/06/2015 10:05:00,51.000
WQ_TRC_SS1,31/08/2010 12:54:00,29/06/2015 10:05:00,51.000
WQ_PHY_BGA,17/07/2014 10:41:00,29/06/2015 10:05:00,12.000
WQ_PHY_FDIAT,17/07/2014 10:41:00,29/06/2015 10:05:00,12.000
WQ_PHY_MDIAT,17/07/2014 10:41:00,29/06/2015 10:05:00,12.000
WQ_PHY_KARLO,17/07/2014 10:41:00,29/06/2015 10:05:00,12.000
