Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,04/08/2008 14:09:00,21/06/2011 13:50:00,76.000
WQ_OXY_OXY,04/08/2008 14:09:00,15/11/2011 11:30:00,226.000
CONDUCTIVITY,04/08/2008 14:09:00,15/11/2011 11:30:00,242.000
WQ_NIT_NIT,06/01/2010 11:30:00,21/06/2011 13:50:00,51.000
WQ_PHS_FRP,28/01/2010 11:00:00,21/06/2011 13:50:00,46.000
WQ_GEO_K,04/08/2008 14:09:00,21/06/2011 13:50:00,76.000
WQ_DIAG_TOT_TKN,04/08/2008 14:09:00,21/06/2011 13:50:00,69.000
WQ_DIAG_TOT_TOC,04/08/2008 14:09:00,21/06/2011 13:50:00,38.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 14:09:00,21/06/2011 13:50:00,196.000
WQ_CAR_DIC,04/08/2008 14:09:00,15/11/2011 11:30:00,93.000
WQ_GEO_AL,04/08/2008 14:09:00,19/11/2010 00:00:00,50.000
WQ_DIAG_TOT_TAL,04/08/2008 14:09:00,21/06/2011 13:50:00,76.000
WQ_NIT_AMM,04/08/2008 14:09:00,21/06/2011 13:50:00,70.000
WQ_GEO_CL,04/08/2008 14:09:00,21/06/2011 13:50:00,76.000
WQ_PHY_GRN,04/08/2008 14:09:00,28/10/2009 12:35:00,16.000
WQ_GEO_FEII,04/08/2008 14:09:00,19/11/2010 00:00:00,50.000
WQ_DIAG_TOT_TFE,04/08/2008 14:09:00,21/06/2011 13:50:00,76.000
WQ_GEO_MG,04/08/2008 14:09:00,19/12/2009 12:10:00,19.000
WQ_GEO_MN,04/08/2008 14:09:00,19/11/2010 00:00:00,37.000
WQ_DIAG_TOT_TN,04/08/2008 14:09:00,21/06/2011 13:50:00,69.000
WQ_OGM_DOC,04/08/2008 14:09:00,21/06/2011 13:50:00,39.000
WQ_CAR_PH,04/08/2008 14:09:00,15/11/2011 11:30:00,175.000
WQ_DIAG_TOT_TP,04/08/2008 14:09:00,21/06/2011 13:50:00,69.000
WQ_SIL_RSI,05/07/2010 11:15:00,21/06/2011 13:50:00,33.000
WQ_GEO_NA,04/08/2008 14:09:00,21/06/2011 13:50:00,76.000
WQ_GEO_SO4,04/08/2008 14:09:00,21/06/2011 13:50:00,76.000
WQ_DIAG_TOT_TSS,04/08/2008 14:09:00,28/10/2009 12:35:00,17.000
TEMP,04/08/2008 14:09:00,15/11/2011 11:30:00,237.000
ALGAL_TOTAL,28/01/2010 12:10:00,22/06/2010 08:45:00,12.000
ALGAL_BIOVOLUME,01/03/2010 00:00:00,01/03/2010 00:00:00,1.000
BGA,28/01/2010 12:10:00,22/06/2010 08:45:00,12.000
WQ_OGM_DON,04/08/2008 14:09:00,21/06/2011 13:50:00,69.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,28/01/2010 11:00:00,21/06/2011 13:50:00,46.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_PHY_TCHLA,04/08/2008 14:09:00,28/10/2009 12:35:00,16.000
WQ_TRC_SS1,04/08/2008 14:09:00,21/06/2011 13:50:00,196.000
ON,04/08/2008 14:09:00,06/06/2011 14:09:00,68.000
OP,04/08/2008 14:09:00,06/06/2011 14:09:00,68.000
SAL,04/08/2008 14:09:00,15/11/2011 11:30:00,242.000
WQ_PHY_BGA,04/08/2008 14:09:00,28/10/2009 12:35:00,16.000
WQ_PHY_FDIAT,04/08/2008 14:09:00,28/10/2009 12:35:00,16.000
WQ_PHY_MDIAT,04/08/2008 14:09:00,28/10/2009 12:35:00,16.000
WQ_PHY_KARLO,04/08/2008 14:09:00,28/10/2009 12:35:00,16.000
