Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,19/12/2009 15:10:00,19/12/2009 15:27:00,18.000
CONDUCTIVITY,11/09/2008 00:00:00,19/12/2009 15:27:00,19.000
WQ_DIAG_TOT_TURBIDITY,19/12/2009 15:10:00,19/12/2009 15:27:00,18.000
WQ_CAR_DIC,11/09/2008 00:00:00,11/09/2008 00:00:00,1.000
WQ_CAR_PH,19/12/2009 15:10:00,19/12/2009 15:27:00,18.000
WQ_GEO_SO4,11/09/2008 00:00:00,11/09/2008 00:00:00,1.000
TEMP,19/12/2009 15:10:00,19/12/2009 15:27:00,18.000
WQ_DIAG_TOT_TSS,19/12/2009 15:10:00,19/12/2009 15:27:00,18.000
WQ_TRC_SS1,19/12/2009 15:10:00,19/12/2009 15:27:00,18.000
SAL,11/09/2008 00:00:00,19/12/2009 15:27:00,19.000
