Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,04/08/2008 12:24:00,16/04/2014 00:00:00,41.000
WQ_OXY_OXY,04/08/2008 12:24:00,09/12/2014 10:00:00,169.000
CONDUCTIVITY,04/08/2008 12:24:00,09/12/2014 10:00:00,220.000
WQ_NIT_NIT,12/01/2012 11:18:00,09/12/2014 00:00:00,30.000
WQ_PHS_FRP,12/01/2012 11:18:00,09/12/2014 00:00:00,30.000
WQ_GEO_K,04/08/2008 12:24:00,16/04/2014 00:00:00,41.000
WQ_DIAG_TOT_TKN,04/08/2008 12:24:00,09/12/2014 00:00:00,49.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 12:24:00,09/12/2014 10:00:00,149.000
WQ_CAR_DIC,04/08/2008 12:24:00,09/12/2014 10:00:00,121.000
WQ_GEO_AL,04/08/2008 12:24:00,16/04/2014 00:00:00,35.000
WQ_DIAG_TOT_TAL,04/08/2008 12:24:00,16/10/2014 00:00:00,43.000
WQ_NIT_AMM,04/08/2008 12:24:00,09/12/2014 00:00:00,49.000
WQ_GEO_CALCITE,27/10/2009 13:25:00,24/11/2009 14:00:00,2.000
WQ_GEO_CL,04/08/2008 12:24:00,16/10/2014 00:00:00,43.000
WQ_PHY_GRN,04/08/2008 12:24:00,27/10/2009 13:25:00,17.000
WQ_GEO_FEII,04/08/2008 12:24:00,19/12/2009 11:55:00,19.000
WQ_DIAG_TOT_TFE,04/08/2008 12:24:00,16/10/2014 00:00:00,43.000
WQ_GEO_MG,04/08/2008 12:24:00,19/12/2009 11:55:00,19.000
WQ_GEO_MN,04/08/2008 12:24:00,19/12/2009 11:55:00,19.000
WQ_DIAG_TOT_TN,04/08/2008 12:24:00,12/06/2013 11:25:00,35.000
WQ_OGM_DOC,04/08/2008 12:24:00,16/10/2014 00:00:00,42.000
WQ_DIAG_TOT_TOC,04/08/2008 12:24:00,18/12/2009 11:50:00,11.000
WQ_CAR_PH,04/08/2008 12:24:00,09/12/2014 10:00:00,190.000
WQ_DIAG_TOT_TP,04/08/2008 12:24:00,09/12/2014 00:00:00,49.000
WQ_SIL_RSI,12/01/2012 11:18:00,09/12/2014 00:00:00,30.000
WQ_GEO_NA,04/08/2008 12:24:00,16/04/2014 00:00:00,41.000
WQ_GEO_SO4,04/08/2008 12:24:00,16/04/2014 00:00:00,41.000
WQ_DIAG_TOT_TSS,04/08/2008 12:24:00,16/04/2013 10:26:00,25.000
TEMP,04/08/2008 12:24:00,09/12/2014 10:00:00,207.000
ALGAL_TOTAL,27/01/2010 13:58:00,22/01/2015 10:55:00,51.000
BGA,27/01/2010 13:58:00,22/01/2015 10:55:00,51.000
GEOSMIN,09/10/2012 11:25:00,22/01/2015 10:55:00,22.000
WQ_OGM_DON,04/08/2008 12:24:00,12/06/2013 11:25:00,35.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,12/01/2012 11:18:00,09/12/2014 00:00:00,30.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_PHY_TCHLA,04/08/2008 12:24:00,27/10/2009 13:25:00,17.000
WQ_TRC_SS1,04/08/2008 12:24:00,09/12/2014 10:00:00,149.000
ON,04/08/2008 12:24:00,12/11/2014 12:24:00,48.000
OP,04/08/2008 12:24:00,12/11/2014 12:24:00,48.000
SAL,04/08/2008 12:24:00,09/12/2014 10:00:00,220.000
WQ_PHY_BGA,04/08/2008 12:24:00,27/10/2009 13:25:00,17.000
WQ_PHY_FDIAT,04/08/2008 12:24:00,27/10/2009 13:25:00,17.000
WQ_PHY_MDIAT,04/08/2008 12:24:00,27/10/2009 13:25:00,17.000
WQ_PHY_KARLO,04/08/2008 12:24:00,27/10/2009 13:25:00,17.000
