Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,04/08/2008 13:38:00,03/02/2009 12:00:00,31.000
CONDUCTIVITY,04/08/2008 13:38:00,30/07/2009 15:05:00,43.000
WQ_DIAG_TOT_TKN,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 13:38:00,20/01/2009 11:28:00,24.000
WQ_CAR_DIC,04/08/2008 13:38:00,30/07/2009 15:05:00,22.000
WQ_GEO_AL,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_DIAG_TOT_TAL,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_NIT_AMM,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_GEO_CA,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_GEO_CL,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_PHY_GRN,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_GEO_FEII,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_DIAG_TOT_TFE,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_GEO_MG,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_GEO_MN,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_DIAG_TOT_TN,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_OGM_DOC,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_DIAG_TOT_TOC,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_CAR_PH,04/08/2008 13:38:00,30/07/2009 15:05:00,39.000
WQ_DIAG_TOT_TP,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_GEO_K,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_GEO_NA,01/09/2008 12:56:00,17/02/2009 16:25:00,7.000
WQ_GEO_SO4,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_DIAG_TOT_TSS,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
TEMP,04/08/2008 13:38:00,30/07/2009 15:05:00,43.000
WQ_DIAG_PHY_TCHLA,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_TRC_SS1,04/08/2008 13:38:00,20/01/2009 11:28:00,24.000
ON,04/08/2008 13:38:00,17/02/2009 13:38:00,8.000
SAL,04/08/2008 13:38:00,30/07/2009 15:05:00,43.000
WQ_PHY_BGA,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_PHY_FDIAT,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_PHY_MDIAT,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
WQ_PHY_KARLO,04/08/2008 13:38:00,17/02/2009 16:25:00,8.000
