Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,24/09/2013 11:42:00,08/06/2016 11:51:00,97.000
WQ_PHY_GRN,08/10/2015 11:30:00,08/06/2016 11:51:00,90.000
WQ_OGM_DOC,05/01/2016 10:33:00,08/06/2016 11:51:00,18.000
WQ_PHS_FRP,24/09/2013 11:42:00,08/06/2016 11:51:00,97.000
WQ_NIT_NIT,24/09/2013 11:42:00,08/06/2016 11:51:00,97.000
WQ_DIAG_TOT_TP,24/09/2013 11:42:00,08/06/2016 11:51:00,97.000
WQ_SIL_RSI,24/09/2013 11:42:00,08/06/2016 11:51:00,97.000
WQ_DIAG_TOT_TKN,24/09/2013 11:42:00,08/06/2016 11:51:00,97.000
WQ_DIAG_TOT_TN,05/08/2014 09:25:00,08/06/2016 11:51:00,78.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 10:35:00,08/06/2016 11:51:00,105.000
pH,24/09/2013 11:42:00,23/04/2015 12:04:00,22.000
