Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,28/03/2012 00:00:00,11/07/2012 10:15:00,3.000
WQ_OXY_OXY,10/09/2012 11:29:00,09/12/2014 10:20:00,11.000
CONDUCTIVITY,28/03/2012 00:00:00,09/12/2014 10:20:00,17.000
WQ_NIT_NIT,24/10/2013 00:00:00,09/12/2014 00:00:00,9.000
WQ_PHS_FRP,24/10/2013 00:00:00,09/12/2014 00:00:00,9.000
WQ_GEO_K,28/03/2012 00:00:00,11/07/2012 10:15:00,3.000
WQ_DIAG_TOT_TKN,24/10/2013 00:00:00,09/12/2014 00:00:00,9.000
WQ_DIAG_TOT_TURBIDITY,28/03/2012 00:00:00,09/12/2014 10:20:00,14.000
WQ_CAR_DIC,28/03/2012 00:00:00,09/12/2014 10:20:00,16.000
WQ_GEO_AL,28/03/2012 00:00:00,20/05/2014 00:00:00,7.000
WQ_DIAG_TOT_TAL,28/03/2012 00:00:00,20/05/2014 00:00:00,7.000
WQ_NIT_AMM,24/10/2013 00:00:00,09/12/2014 00:00:00,9.000
WQ_GEO_CL,28/03/2012 00:00:00,06/02/2013 10:30:00,6.000
WQ_GEO_FEII,28/03/2012 00:00:00,20/05/2014 00:00:00,7.000
WQ_DIAG_TOT_TFE,28/03/2012 00:00:00,20/05/2014 00:00:00,7.000
WQ_GEO_MN,28/03/2012 00:00:00,20/05/2014 00:00:00,7.000
WQ_CAR_PH,28/03/2012 00:00:00,09/12/2014 10:20:00,18.000
WQ_DIAG_TOT_TP,24/10/2013 00:00:00,09/12/2014 00:00:00,9.000
WQ_SIL_RSI,28/03/2012 00:00:00,09/12/2014 00:00:00,12.000
WQ_GEO_NA,28/03/2012 00:00:00,11/07/2012 10:15:00,3.000
WQ_GEO_SO4,28/03/2012 00:00:00,06/02/2013 10:30:00,6.000
TEMP,10/09/2012 11:29:00,09/12/2014 10:20:00,11.000
ALGAL_TOTAL,03/10/2013 13:50:00,22/01/2015 11:20:00,10.000
BGA,03/10/2013 13:50:00,22/01/2015 11:20:00,10.000
GEOSMIN,03/10/2013 13:50:00,22/01/2015 11:20:00,10.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,24/10/2013 00:00:00,09/12/2014 00:00:00,9.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,28/03/2012 00:00:00,09/12/2014 10:20:00,14.000
WQ_TRC_SS1,28/03/2012 00:00:00,09/12/2014 10:20:00,14.000
ON,24/10/2013 00:00:00,09/12/2014 00:00:00,9.000
OP,24/10/2013 00:00:00,09/12/2014 00:00:00,9.000
SAL,28/03/2012 00:00:00,09/12/2014 10:20:00,17.000
