Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,26/05/2010 13:40:00,11/07/2012 10:15:00,8.000
WQ_OXY_OXY,14/08/2009 12:05:00,06/02/2013 10:30:00,26.000
CONDUCTIVITY,14/08/2009 12:05:00,06/02/2013 10:30:00,29.000
WQ_GEO_K,26/05/2010 13:40:00,11/07/2012 10:15:00,8.000
WQ_CAR_DIC,18/08/2009 12:02:00,06/02/2013 10:30:00,19.000
WQ_GEO_AL,11/11/2009 10:35:00,06/02/2013 10:30:00,15.000
WQ_DIAG_TOT_TAL,11/11/2009 10:35:00,06/02/2013 10:30:00,15.000
WQ_GEO_CL,13/04/2010 13:40:00,06/02/2013 10:30:00,13.000
WQ_GEO_FEII,11/11/2009 10:35:00,06/02/2013 10:30:00,15.000
WQ_DIAG_TOT_TFE,11/11/2009 10:35:00,06/02/2013 10:30:00,15.000
WQ_GEO_MN,26/05/2010 13:40:00,06/02/2013 10:30:00,11.000
WQ_CAR_PH,14/08/2009 12:05:00,06/02/2013 10:30:00,29.000
WQ_SIL_RSI,26/05/2010 13:40:00,11/07/2012 10:15:00,8.000
WQ_GEO_NA,26/05/2010 13:40:00,11/07/2012 10:15:00,8.000
WQ_GEO_SO4,13/04/2010 13:40:00,06/02/2013 10:30:00,13.000
TEMP,14/08/2009 12:05:00,06/02/2013 10:30:00,28.000
WQ_DIAG_TOT_TURBIDITY,26/05/2010 13:40:00,11/07/2012 10:15:00,8.000
WQ_DIAG_TOT_TSS,26/05/2010 13:40:00,11/07/2012 10:15:00,8.000
WQ_TRC_SS1,26/05/2010 13:40:00,11/07/2012 10:15:00,8.000
SAL,14/08/2009 12:05:00,06/02/2013 10:30:00,29.000
