Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,15/07/2014 14:00:00,20/04/2016 10:45:00,11.000
WQ_PHY_GRN,13/10/2015 13:50:00,20/04/2016 10:45:00,9.000
WQ_OGM_DOC,15/07/2014 14:00:00,20/04/2016 10:45:00,8.000
WQ_PHS_FRP,15/07/2014 14:00:00,20/04/2016 10:45:00,11.000
WQ_NIT_NIT,15/07/2014 14:00:00,20/04/2016 10:45:00,11.000
WQ_DIAG_TOT_TP,15/07/2014 14:00:00,20/04/2016 10:45:00,11.000
WQ_SIL_RSI,18/09/2014 13:03:00,09/12/2014 11:00:00,3.000
WQ_DIAG_TOT_TKN,15/07/2014 14:00:00,20/04/2016 10:45:00,11.000
WQ_DIAG_TOT_TURBIDITY,15/07/2014 14:00:00,20/04/2016 10:45:00,8.000
pH,15/07/2014 14:00:00,20/04/2016 10:45:00,8.000
