Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
CONDUCTIVITY,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_NIT_NIT,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_PHS_FRP,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_DIAG_TOT_TKN,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_CAR_DIC,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_NIT_AMM,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_DIAG_TOT_TN,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_CAR_PH,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_DIAG_TOT_TP,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_DIAG_TOT_TSS,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
TEMP,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_DIAG_TOT_TURBIDITY,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_PHS_FRPADS,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
WQ_TRC_SS1,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
SAL,23/02/2011 11:00:00,23/02/2011 11:00:00,1.000
