Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
CONDUCTIVITY,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_NIT_NIT,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_PHS_FRP,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_DIAG_TOT_TKN,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_CAR_DIC,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_NIT_AMM,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_DIAG_TOT_TN,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_CAR_PH,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_DIAG_TOT_TP,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_DIAG_TOT_TSS,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
TEMP,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_DIAG_TOT_TURBIDITY,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_PHS_FRPADS,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
WQ_TRC_SS1,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
SAL,25/02/2011 09:50:00,25/02/2011 09:50:00,1.000
