Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,14/07/2014 00:00:00,08/06/2016 09:20:00,90.000
WQ_PHY_GRN,08/10/2015 11:20:00,08/06/2016 09:20:00,90.000
WQ_OGM_DOC,05/01/2016 10:20:00,08/06/2016 09:20:00,18.000
WQ_PHS_FRP,14/07/2014 00:00:00,08/06/2016 09:20:00,90.000
WQ_NIT_NIT,14/07/2014 00:00:00,08/06/2016 09:20:00,90.000
WQ_DIAG_TOT_TP,14/07/2014 00:00:00,08/06/2016 09:20:00,90.000
WQ_SIL_RSI,14/07/2014 00:00:00,08/06/2016 09:20:00,90.000
WQ_DIAG_TOT_TKN,14/07/2014 00:00:00,08/06/2016 09:20:00,90.000
WQ_DIAG_TOT_TN,21/07/2014 11:55:00,08/06/2016 09:20:00,81.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 08:15:00,08/06/2016 09:20:00,108.000
pH,24/09/2013 11:30:00,23/04/2015 08:45:00,22.000
