Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,21/07/2014 10:35:00,08/06/2016 10:53:00,52.000
WQ_PHY_GRN,08/10/2015 10:00:00,08/06/2016 10:53:00,60.000
WQ_OGM_DOC,05/01/2016 14:30:00,08/06/2016 10:53:00,12.000
WQ_PHS_FRP,21/07/2014 10:35:00,08/06/2016 10:53:00,52.000
WQ_NIT_NIT,21/07/2014 10:35:00,08/06/2016 10:53:00,52.000
WQ_DIAG_TOT_TP,21/07/2014 10:35:00,08/06/2016 10:53:00,52.000
WQ_SIL_RSI,21/07/2014 10:35:00,08/06/2016 10:53:00,52.000
WQ_DIAG_TOT_TKN,21/07/2014 10:35:00,08/06/2016 10:53:00,52.000
WQ_DIAG_TOT_TN,21/07/2014 10:35:00,08/06/2016 10:53:00,52.000
WQ_DIAG_TOT_TURBIDITY,21/07/2014 10:35:00,08/06/2016 10:53:00,52.000
