Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,15/07/2014 14:55:00,20/04/2016 09:15:00,8.000
WQ_PHY_GRN,13/10/2015 15:00:00,20/04/2016 09:15:00,9.000
WQ_OGM_DOC,15/07/2014 14:55:00,20/04/2016 09:15:00,8.000
WQ_PHS_FRP,15/07/2014 14:55:00,20/04/2016 09:15:00,8.000
WQ_NIT_NIT,15/07/2014 14:55:00,20/04/2016 09:15:00,8.000
WQ_DIAG_TOT_TP,15/07/2014 14:55:00,20/04/2016 09:15:00,8.000
WQ_SIL_RSI,15/07/2014 14:55:00,20/04/2016 09:15:00,7.000
WQ_DIAG_TOT_TKN,15/07/2014 14:55:00,20/04/2016 09:15:00,8.000
WQ_DIAG_TOT_TURBIDITY,15/07/2014 14:55:00,20/04/2016 09:15:00,8.000
pH,15/07/2014 14:55:00,20/04/2016 09:15:00,8.000
