Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,05/08/2014 12:30:00,08/06/2016 08:05:00,40.000
WQ_PHY_GRN,08/10/2015 14:00:00,08/06/2016 08:05:00,30.000
WQ_OGM_DOC,08/06/2016 08:05:00,08/06/2016 08:05:00,2.000
WQ_PHS_FRP,31/07/2013 09:45:00,08/06/2016 08:05:00,48.000
WQ_NIT_NIT,03/07/2013 10:00:00,08/06/2016 08:05:00,92.000
WQ_DIAG_TOT_TP,03/07/2013 10:00:00,08/06/2016 08:05:00,84.000
WQ_SIL_RSI,05/08/2014 12:30:00,08/06/2016 08:05:00,40.000
WQ_DIAG_TOT_TKN,03/07/2013 10:00:00,08/06/2016 08:05:00,84.000
WQ_DIAG_TOT_TN,03/07/2013 10:00:00,08/06/2016 08:05:00,78.000
WQ_DIAG_TOT_TURBIDITY,05/08/2014 12:30:00,08/06/2016 08:05:00,40.000
