Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,14/07/2014 00:00:00,08/06/2016 08:52:00,62.000
WQ_PHY_GRN,08/10/2015 12:45:00,08/06/2016 08:52:00,66.000
WQ_OGM_DOC,05/01/2016 11:45:00,08/06/2016 08:52:00,12.000
WQ_PHS_FRP,14/07/2014 00:00:00,08/06/2016 08:52:00,62.000
WQ_NIT_NIT,14/07/2014 00:00:00,08/06/2016 08:52:00,62.000
WQ_DIAG_TOT_TP,14/07/2014 00:00:00,08/06/2016 08:52:00,62.000
WQ_SIL_RSI,14/07/2014 00:00:00,08/06/2016 08:52:00,62.000
WQ_DIAG_TOT_TKN,14/07/2014 00:00:00,08/06/2016 08:52:00,62.000
WQ_DIAG_TOT_TN,21/07/2014 13:30:00,08/06/2016 08:52:00,59.000
WQ_DIAG_TOT_TURBIDITY,14/07/2014 00:00:00,08/06/2016 08:52:00,62.000
pH,14/07/2014 00:00:00,23/04/2015 11:45:00,4.000
