Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_OXY_OXY,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
CONDUCTIVITY,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_GEO_K,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_CAR_DIC,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_GEO_AL,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_DIAG_TOT_TAL,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_GEO_CL,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_GEO_FEII,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_DIAG_TOT_TFE,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_GEO_MN,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_CAR_PH,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_SIL_RSI,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_GEO_NA,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_GEO_SO4,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
TEMP,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_DIAG_TOT_TURBIDITY,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_DIAG_TOT_TSS,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
WQ_TRC_SS1,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
SAL,25/08/2010 13:10:00,25/08/2010 13:10:00,1.000
