Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_OXY_OXY,26/11/2010 11:22:00,16/05/2011 12:50:00,6.000
CONDUCTIVITY,26/11/2010 11:22:00,16/05/2011 12:50:00,6.000
WQ_GEO_K,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_CAR_DIC,26/11/2010 11:22:00,16/05/2011 12:50:00,6.000
WQ_GEO_AL,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_DIAG_TOT_TAL,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_GEO_CL,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_GEO_FEII,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_DIAG_TOT_TFE,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_GEO_MN,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_CAR_PH,26/11/2010 11:22:00,16/05/2011 12:50:00,6.000
WQ_SIL_RSI,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_GEO_NA,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_GEO_SO4,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
TEMP,26/11/2010 11:22:00,16/05/2011 12:50:00,6.000
WQ_DIAG_TOT_TURBIDITY,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_DIAG_TOT_TSS,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
WQ_TRC_SS1,06/01/2011 12:32:00,19/04/2011 12:25:00,2.000
SAL,26/11/2010 11:22:00,16/05/2011 12:50:00,6.000
