Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_OXY_OXY,26/11/2010 13:35:00,16/05/2011 11:50:00,7.000
CONDUCTIVITY,26/11/2010 13:35:00,16/05/2011 11:50:00,8.000
WQ_GEO_K,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_CAR_DIC,26/11/2010 13:35:00,16/05/2011 11:50:00,8.000
WQ_GEO_AL,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_DIAG_TOT_TAL,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_GEO_CL,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_GEO_FEII,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_DIAG_TOT_TFE,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_GEO_MN,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_CAR_PH,26/11/2010 13:35:00,16/05/2011 11:50:00,8.000
WQ_SIL_RSI,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_GEO_NA,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_GEO_SO4,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
TEMP,26/11/2010 13:35:00,16/05/2011 11:50:00,7.000
WQ_DIAG_TOT_TURBIDITY,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_DIAG_TOT_TSS,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
WQ_TRC_SS1,26/11/2010 13:35:00,19/04/2011 11:30:00,6.000
SAL,26/11/2010 13:35:00,16/05/2011 11:50:00,8.000
