Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,24/09/2013 13:10:00,08/06/2016 00:40:00,97.000
WQ_PHY_GRN,08/10/2015 12:35:00,08/06/2016 00:40:00,90.000
WQ_OGM_DOC,05/01/2016 11:40:00,08/06/2016 00:40:00,18.000
WQ_PHS_FRP,24/09/2013 13:10:00,08/06/2016 00:40:00,97.000
WQ_NIT_NIT,24/09/2013 13:10:00,08/06/2016 00:40:00,97.000
WQ_DIAG_TOT_TP,24/09/2013 13:10:00,08/06/2016 00:40:00,97.000
WQ_SIL_RSI,06/01/2011 14:15:00,19/04/2011 10:55:00,10.000
WQ_DIAG_TOT_TKN,24/09/2013 13:10:00,08/06/2016 00:40:00,97.000
WQ_DIAG_TOT_TN,05/08/2014 11:00:00,08/06/2016 00:40:00,78.000
WQ_DIAG_TOT_TURBIDITY,06/01/2011 14:15:00,08/06/2016 00:40:00,115.000
pH,06/01/2011 14:15:00,23/04/2015 13:10:00,32.000
