Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,12/09/2012 08:15:00,08/06/2016 10:20:00,102.000
WQ_PHY_GRN,08/10/2015 10:35:00,08/06/2016 10:20:00,81.000
WQ_OGM_DOC,05/01/2016 09:15:00,08/06/2016 10:20:00,15.000
WQ_PHS_FRP,12/09/2012 08:15:00,08/06/2016 10:20:00,102.000
WQ_NIT_NIT,12/09/2012 08:15:00,08/06/2016 10:20:00,102.000
WQ_DIAG_TOT_TP,12/09/2012 08:15:00,08/06/2016 10:20:00,102.000
WQ_SIL_RSI,12/09/2012 08:15:00,08/06/2016 10:20:00,102.000
WQ_DIAG_TOT_TKN,12/09/2012 08:15:00,08/06/2016 10:20:00,102.000
WQ_DIAG_TOT_TN,21/07/2014 11:05:00,08/06/2016 10:20:00,75.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 08:15:00,08/06/2016 10:20:00,102.000
pH,24/09/2013 10:15:00,23/04/2015 09:55:00,22.000
