Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,06/08/2008 09:40:00,09/02/2016 12:00:00,86.000
WQ_PHY_GRN,06/08/2008 09:40:00,09/02/2016 12:00:00,20.000
WQ_OGM_DOC,06/08/2008 09:40:00,09/02/2016 12:00:00,53.000
WQ_PHS_FRP,04/01/2010 17:45:00,09/02/2016 12:00:00,82.000
WQ_NIT_NIT,04/01/2010 17:45:00,09/02/2016 12:00:00,82.000
WQ_DIAG_TOT_TP,29/04/2008 08:00:00,09/02/2016 12:00:00,138.000
WQ_SIL_RSI,29/04/2008 08:00:00,09/12/2014 11:20:00,118.000
WQ_DIAG_TOT_TKN,29/04/2008 08:00:00,09/02/2016 12:00:00,138.000
WQ_DIAG_TOT_TURBIDITY,29/04/2008 08:00:00,09/02/2016 12:00:00,158.000
pH,15/07/2014 13:07:00,09/02/2016 12:00:00,7.000
WQ_GEO_CA,29/04/2008 08:00:00,16/04/2014 00:00:00,120.000
WQ_OXY_OXY,20/02/2008 12:00:00,09/12/2014 11:20:00,115.000
CONDUCTIVITY,20/02/2008 12:00:00,09/12/2014 11:20:00,172.000
WQ_GEO_K,29/04/2008 08:00:00,16/04/2014 00:00:00,120.000
WQ_DIAG_TOT_TOC,06/08/2008 09:40:00,26/07/2011 13:37:00,11.000
WQ_CAR_DIC,20/02/2008 12:00:00,09/12/2014 11:20:00,147.000
WQ_GEO_AL,29/04/2008 08:00:00,16/04/2014 00:00:00,94.000
WQ_DIAG_TOT_TAL,29/04/2008 08:00:00,16/10/2014 00:00:00,122.000
WQ_GEO_CL,29/04/2008 08:00:00,16/10/2014 00:00:00,123.000
WQ_GEO_FEII,06/08/2008 09:40:00,12/11/2010 10:30:00,22.000
WQ_DIAG_TOT_TFE,29/04/2008 08:00:00,16/10/2014 00:00:00,123.000
WQ_GEO_MG,29/04/2008 08:00:00,09/12/2009 08:10:00,56.000
WQ_GEO_MN,06/08/2008 09:40:00,12/11/2010 10:30:00,21.000
WQ_DIAG_TOT_TN,29/04/2008 08:00:00,12/06/2013 12:05:00,112.000
WQ_CAR_PH,20/02/2008 12:00:00,09/12/2014 11:20:00,169.000
SAL,20/02/2008 12:00:00,09/12/2014 11:20:00,172.000
WQ_GEO_NA,29/04/2008 08:00:00,16/04/2014 00:00:00,120.000
WQ_GEO_SO4,29/04/2008 08:00:00,16/04/2014 00:00:00,121.000
WQ_DIAG_TOT_TSS,06/08/2008 09:40:00,16/04/2013 11:05:00,20.000
TEMP,20/02/2008 12:00:00,09/12/2014 11:20:00,116.000
ALGAL_TOTAL,03/10/2013 11:30:00,14/01/2015 00:00:00,10.000
BGA,03/10/2013 11:30:00,14/01/2015 00:00:00,10.000
GEOSMIN,03/10/2013 11:30:00,14/01/2015 00:00:00,10.000
WQ_OGM_DON,29/04/2008 08:00:00,12/06/2013 08:00:00,112.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,04/01/2010 17:45:00,09/12/2014 00:00:00,72.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_PHY_TCHLA,06/08/2008 09:40:00,01/09/2009 08:50:00,14.000
WQ_TRC_SS1,29/04/2008 08:00:00,09/12/2014 11:20:00,151.000
ON,29/04/2008 08:00:00,12/11/2014 08:00:00,127.000
OP,29/04/2008 08:00:00,12/11/2014 08:00:00,127.000
WQ_PHY_BGA,06/08/2008 09:40:00,01/09/2009 08:50:00,14.000
WQ_PHY_FDIAT,06/08/2008 09:40:00,01/09/2009 08:50:00,14.000
WQ_PHY_MDIAT,06/08/2008 09:40:00,01/09/2009 08:50:00,14.000
WQ_PHY_KARLO,06/08/2008 09:40:00,01/09/2009 08:50:00,14.000
