Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,05/08/2008 10:47:00,09/02/2016 10:10:00,85.000
WQ_PHY_GRN,05/08/2008 10:47:00,09/02/2016 10:10:00,22.000
WQ_OGM_DOC,05/08/2008 10:47:00,09/02/2016 10:10:00,62.000
WQ_PHS_FRP,27/01/2010 11:39:00,09/02/2016 10:10:00,75.000
WQ_NIT_NIT,27/01/2010 11:39:00,09/02/2016 10:10:00,75.000
WQ_DIAG_TOT_TP,05/08/2008 10:47:00,09/02/2016 10:10:00,94.000
WQ_SIL_RSI,27/01/2010 11:39:00,09/12/2014 09:39:00,68.000
WQ_DIAG_TOT_TKN,05/08/2008 10:47:00,09/02/2016 10:10:00,94.000
WQ_DIAG_TOT_TURBIDITY,05/08/2008 10:47:00,09/02/2016 10:10:00,219.000
pH,15/07/2014 11:22:00,09/02/2016 10:10:00,7.000
WQ_GEO_CA,05/08/2008 10:47:00,16/04/2014 00:00:00,74.000
WQ_OXY_OXY,05/08/2008 10:47:00,09/12/2014 09:39:00,213.000
CONDUCTIVITY,05/08/2008 10:47:00,09/12/2014 09:39:00,265.000
WQ_GEO_K,05/08/2008 10:47:00,16/04/2014 00:00:00,74.000
WQ_DIAG_TOT_TOC,05/08/2008 10:47:00,28/06/2011 10:15:00,25.000
WQ_CAR_DIC,05/08/2008 10:47:00,09/12/2014 09:39:00,124.000
WQ_GEO_AL,05/08/2008 10:47:00,16/04/2014 00:00:00,49.000
WQ_DIAG_TOT_TAL,05/08/2008 10:47:00,16/10/2014 00:00:00,77.000
WQ_GEO_CALCITE,05/08/2009 07:55:00,24/11/2009 12:45:00,4.000
WQ_GEO_CL,05/08/2008 10:47:00,16/10/2014 00:00:00,78.000
WQ_GEO_FEII,05/08/2008 10:47:00,18/12/2009 10:54:00,18.000
WQ_DIAG_TOT_TFE,05/08/2008 10:47:00,16/10/2014 00:00:00,77.000
WQ_GEO_MG,05/08/2008 10:47:00,18/12/2009 10:54:00,17.000
WQ_GEO_MN,05/08/2008 10:47:00,18/12/2009 10:54:00,18.000
WQ_DIAG_TOT_TN,05/08/2008 10:47:00,12/06/2013 10:15:00,68.000
WQ_CAR_PH,05/08/2008 10:47:00,09/12/2014 09:39:00,222.000
WQ_GEO_NA,05/08/2008 10:47:00,16/04/2014 00:00:00,74.000
WQ_GEO_SO4,05/08/2008 10:47:00,16/04/2014 00:00:00,75.000
WQ_DIAG_TOT_TSS,05/08/2008 10:47:00,16/04/2013 09:24:00,27.000
TEMP,05/08/2008 10:47:00,09/12/2014 09:39:00,255.000
ALGAL_TOTAL,27/01/2010 11:39:00,22/01/2015 09:45:00,50.000
BGA,27/01/2010 11:39:00,22/01/2015 09:45:00,50.000
GEOSMIN,09/10/2012 10:00:00,22/01/2015 09:45:00,21.000
WQ_OGM_DON,05/08/2008 10:47:00,12/06/2013 10:15:00,68.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,27/01/2010 11:39:00,09/12/2014 00:00:00,65.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_PHY_TCHLA,05/08/2008 10:47:00,27/10/2009 12:10:00,16.000
WQ_TRC_SS1,05/08/2008 10:47:00,09/12/2014 09:39:00,212.000
ON,05/08/2008 10:47:00,12/11/2014 10:47:00,83.000
OP,05/08/2008 10:47:00,12/11/2014 10:47:00,83.000
SAL,05/08/2008 10:47:00,09/12/2014 09:39:00,265.000
WQ_PHY_BGA,05/08/2008 10:47:00,27/10/2009 12:10:00,16.000
WQ_PHY_FDIAT,05/08/2008 10:47:00,27/10/2009 12:10:00,16.000
WQ_PHY_MDIAT,05/08/2008 10:47:00,27/10/2009 12:10:00,16.000
WQ_PHY_KARLO,05/08/2008 10:47:00,27/10/2009 12:10:00,16.000
