Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,27/02/2008 12:50:00,08/06/2016 11:51:00,124.000
WQ_PHY_GRN,08/10/2015 11:30:00,08/06/2016 11:51:00,90.000
WQ_OGM_DOC,05/01/2016 10:33:00,08/06/2016 11:51:00,18.000
WQ_PHS_FRP,24/09/2013 00:00:00,08/06/2016 11:51:00,116.000
WQ_NIT_NIT,24/09/2013 00:00:00,08/06/2016 11:51:00,116.000
WQ_DIAG_TOT_TP,27/02/2008 12:50:00,08/06/2016 11:51:00,124.000
WQ_SIL_RSI,24/09/2013 00:00:00,08/06/2016 11:51:00,116.000
WQ_DIAG_TOT_TKN,27/02/2008 12:50:00,08/06/2016 11:51:00,124.000
WQ_DIAG_TOT_TN,05/08/2014 00:00:00,08/06/2016 11:51:00,84.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 12:50:00,08/06/2016 11:51:00,150.000
pH,24/09/2013 11:42:00,23/04/2015 12:04:00,22.000
WQ_OXY_OXY,12/09/2012 10:35:00,09/12/2014 11:30:00,17.000
CONDUCTIVITY,27/02/2008 12:50:00,10/12/2014 00:00:00,45.000
WQ_CAR_DIC,25/08/2009 00:00:00,09/12/2014 11:30:00,20.000
WQ_GEO_CL,12/09/2012 00:00:00,10/12/2014 00:00:00,28.000
WQ_CAR_PH,27/02/2008 12:50:00,09/12/2014 11:30:00,33.000
TEMP,27/02/2008 12:50:00,09/12/2014 11:30:00,18.000
ALGAL_TOTAL,24/09/2013 11:42:00,21/01/2015 12:45:00,11.000
BGA,24/09/2013 11:42:00,21/01/2015 12:45:00,11.000
GEOSMIN,24/09/2013 11:42:00,21/01/2015 12:45:00,11.000
WQ_OGM_DON,05/08/2014 00:00:00,10/12/2014 00:00:00,6.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,24/09/2013 00:00:00,10/12/2014 00:00:00,19.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,27/02/2008 12:50:00,10/12/2014 00:00:00,45.000
WQ_TRC_SS1,27/02/2008 12:50:00,10/12/2014 00:00:00,45.000
ON,27/02/2008 12:50:00,10/12/2014 00:00:00,26.000
OP,24/09/2013 00:00:00,10/12/2014 00:00:00,19.000
SAL,27/02/2008 12:50:00,10/12/2014 00:00:00,45.000
WQ_GEO_AL,27/02/2008 12:50:00,23/11/2009 11:30:00,8.000
WQ_DIAG_TOT_TAL,27/02/2008 12:50:00,23/11/2009 11:30:00,8.000
WQ_GEO_FEII,27/02/2008 12:50:00,23/11/2009 11:30:00,8.000
WQ_DIAG_TOT_TFE,27/02/2008 12:50:00,23/11/2009 11:30:00,8.000
