Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,11/09/2012 11:00:00,05/01/2016 11:00:00,25.000
WQ_PHY_GRN,08/10/2015 12:00:00,05/01/2016 11:00:00,6.000
WQ_PHS_FRP,11/09/2012 11:00:00,05/01/2016 11:00:00,25.000
WQ_NIT_NIT,11/09/2012 11:00:00,05/01/2016 11:00:00,25.000
WQ_DIAG_TOT_TP,11/09/2012 11:00:00,05/01/2016 11:00:00,25.000
WQ_SIL_RSI,11/09/2012 11:00:00,05/01/2016 11:00:00,25.000
WQ_DIAG_TOT_TKN,11/09/2012 11:00:00,05/01/2016 11:00:00,25.000
WQ_DIAG_TOT_TN,13/11/2014 00:00:00,05/01/2016 11:00:00,9.000
WQ_DIAG_TOT_TURBIDITY,11/09/2012 11:00:00,05/01/2016 11:00:00,29.000
pH,14/07/2014 12:47:00,23/04/2015 12:35:00,4.000
WQ_OXY_OXY,12/09/2012 11:00:00,09/12/2014 12:00:00,11.000
CONDUCTIVITY,11/09/2012 11:00:00,10/12/2014 00:00:00,19.000
WQ_CAR_DIC,12/09/2012 11:00:00,09/12/2014 12:00:00,13.000
WQ_GEO_CL,11/09/2012 11:00:00,10/12/2014 00:00:00,15.000
WQ_CAR_PH,12/09/2012 11:00:00,09/12/2014 12:00:00,15.000
TEMP,12/09/2012 11:00:00,09/12/2014 12:00:00,11.000
ALGAL_TOTAL,11/09/2012 11:00:00,21/01/2015 13:30:00,15.000
BGA,11/09/2012 11:00:00,21/01/2015 13:30:00,15.000
GEOSMIN,13/12/2012 08:45:00,21/01/2015 13:30:00,14.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,11/09/2012 11:00:00,10/12/2014 00:00:00,15.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,11/09/2012 11:00:00,10/12/2014 00:00:00,19.000
WQ_TRC_SS1,11/09/2012 11:00:00,10/12/2014 00:00:00,19.000
ON,11/09/2012 11:00:00,13/11/2014 11:00:00,14.000
OP,11/09/2012 11:00:00,13/11/2014 11:00:00,14.000
SAL,11/09/2012 11:00:00,10/12/2014 00:00:00,19.000
