Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,27/02/2008 10:20:00,05/01/2016 13:00:00,28.000
WQ_PHY_GRN,08/10/2015 13:53:00,05/01/2016 13:00:00,6.000
WQ_PHS_FRP,12/09/2012 13:40:00,05/01/2016 13:00:00,20.000
WQ_NIT_NIT,12/09/2012 13:40:00,05/01/2016 13:00:00,20.000
WQ_DIAG_TOT_TP,27/02/2008 10:20:00,05/01/2016 13:00:00,28.000
WQ_SIL_RSI,12/09/2012 13:40:00,05/01/2016 13:00:00,20.000
WQ_DIAG_TOT_TKN,27/02/2008 10:20:00,05/01/2016 13:00:00,28.000
WQ_DIAG_TOT_TN,13/11/2014 00:00:00,05/01/2016 13:00:00,9.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 10:20:00,05/01/2016 13:00:00,34.000
CONDUCTIVITY,27/02/2008 10:20:00,10/12/2014 13:39:00,25.000
WQ_CAR_DIC,25/08/2009 00:00:00,10/12/2014 13:39:00,13.000
WQ_GEO_AL,27/02/2008 10:20:00,23/11/2009 09:30:00,8.000
WQ_DIAG_TOT_TAL,27/02/2008 10:20:00,23/11/2009 09:30:00,8.000
WQ_GEO_FEII,27/02/2008 10:20:00,23/11/2009 09:30:00,8.000
WQ_DIAG_TOT_TFE,27/02/2008 10:20:00,23/11/2009 09:30:00,8.000
WQ_CAR_PH,27/02/2008 10:20:00,10/12/2014 13:39:00,20.000
TEMP,27/02/2008 10:20:00,10/12/2014 13:39:00,12.000
ALGAL_TOTAL,12/09/2012 13:40:00,21/01/2015 15:10:00,14.000
BGA,12/09/2012 13:40:00,21/01/2015 15:10:00,14.000
GEOSMIN,12/12/2012 19:30:00,21/01/2015 15:10:00,13.000
WQ_DIAG_TOT_TSS,27/02/2008 10:20:00,10/12/2014 13:39:00,25.000
WQ_TRC_SS1,27/02/2008 10:20:00,10/12/2014 13:39:00,25.000
ON,27/02/2008 10:20:00,13/11/2014 13:40:00,17.000
SAL,27/02/2008 10:20:00,10/12/2014 13:39:00,25.000
WQ_OXY_OXY,12/09/2012 13:40:00,10/12/2014 13:39:00,11.000
WQ_GEO_CL,12/09/2012 13:40:00,10/12/2014 00:00:00,11.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,12/09/2012 13:40:00,10/12/2014 00:00:00,11.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
OP,12/09/2012 13:40:00,13/11/2014 13:40:00,10.000
