Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,21/07/2014 14:25:00,11/02/2016 08:15:00,8.000
WQ_PHY_GRN,11/02/2016 08:15:00,11/02/2016 08:15:00,6.000
WQ_OGM_DOC,11/02/2016 08:15:00,11/02/2016 08:15:00,2.000
WQ_PHS_FRP,21/07/2014 14:25:00,11/02/2016 08:15:00,8.000
WQ_NIT_NIT,21/07/2014 14:25:00,11/02/2016 08:15:00,8.000
WQ_DIAG_TOT_TP,21/07/2014 14:25:00,11/02/2016 08:15:00,8.000
WQ_SIL_RSI,21/07/2014 14:25:00,11/02/2016 08:15:00,8.000
WQ_DIAG_TOT_TKN,21/07/2014 14:25:00,11/02/2016 08:15:00,8.000
WQ_DIAG_TOT_TN,21/07/2014 14:25:00,11/02/2016 08:15:00,8.000
WQ_DIAG_TOT_TURBIDITY,21/07/2014 14:25:00,11/02/2016 08:15:00,8.000
