Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,03/10/2013 00:00:00,21/01/2015 15:45:00,8.000
WQ_PHY_GRN,16/09/2014 15:28:00,21/01/2015 15:45:00,15.000
WQ_PHS_FRP,03/10/2013 00:00:00,21/01/2015 15:45:00,8.000
WQ_NIT_NIT,03/10/2013 00:00:00,21/01/2015 15:45:00,8.000
WQ_DIAG_TOT_TP,03/10/2013 00:00:00,21/01/2015 15:45:00,8.000
WQ_SIL_RSI,20/07/2010 12:23:00,21/01/2015 15:45:00,10.000
WQ_DIAG_TOT_TKN,03/10/2013 00:00:00,21/01/2015 15:45:00,8.000
WQ_DIAG_TOT_TN,13/11/2014 15:45:00,21/01/2015 15:45:00,3.000
WQ_OXY_OXY,14/07/2010 12:30:00,10/12/2014 14:20:00,34.000
CONDUCTIVITY,14/07/2010 12:30:00,10/12/2014 14:20:00,34.000
WQ_DIAG_TOT_TURBIDITY,20/07/2010 12:23:00,10/12/2014 14:20:00,9.000
WQ_CAR_DIC,14/07/2010 12:30:00,10/12/2014 14:20:00,34.000
WQ_CAR_PH,14/07/2010 12:30:00,10/12/2014 14:20:00,34.000
TEMP,14/07/2010 12:30:00,10/12/2014 14:20:00,33.000
ALGAL_TOTAL,03/10/2013 00:00:00,21/01/2015 15:45:00,10.000
BGA,03/10/2013 00:00:00,21/01/2015 15:45:00,10.000
GEOSMIN,03/10/2013 00:00:00,21/01/2015 15:45:00,10.000
WQ_PHS_FRPADS,03/10/2013 00:00:00,22/11/2013 08:51:00,3.000
WQ_DIAG_TOT_TSS,20/07/2010 12:23:00,10/12/2014 14:20:00,9.000
WQ_TRC_SS1,20/07/2010 12:23:00,10/12/2014 14:20:00,9.000
SAL,14/07/2010 12:30:00,10/12/2014 14:20:00,34.000
WQ_GEO_CA,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
WQ_GEO_K,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
WQ_GEO_AL,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
WQ_DIAG_TOT_TAL,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
WQ_GEO_CL,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
WQ_GEO_FEII,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
WQ_DIAG_TOT_TFE,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
WQ_GEO_MN,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
WQ_GEO_NA,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
WQ_GEO_SO4,20/07/2010 12:23:00,29/07/2010 14:35:00,2.000
