Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,21/07/2014 00:00:00,08/06/2016 08:52:00,69.000
WQ_PHY_GRN,21/07/2014 12:52:00,08/06/2016 08:52:00,80.000
WQ_OGM_DOC,05/01/2016 11:45:00,08/06/2016 08:52:00,12.000
WQ_PHS_FRP,21/07/2014 00:00:00,08/06/2016 08:52:00,69.000
WQ_NIT_NIT,21/07/2014 00:00:00,08/06/2016 08:52:00,69.000
WQ_DIAG_TOT_TP,21/07/2014 00:00:00,08/06/2016 08:52:00,70.000
WQ_SIL_RSI,21/07/2014 00:00:00,08/06/2016 08:52:00,70.000
WQ_DIAG_TOT_TKN,21/07/2014 00:00:00,08/06/2016 08:52:00,70.000
WQ_DIAG_TOT_TN,21/07/2014 00:00:00,08/06/2016 08:52:00,69.000
WQ_DIAG_TOT_TURBIDITY,11/09/2012 15:10:00,08/06/2016 08:52:00,108.000
WQ_OXY_OXY,11/09/2012 15:10:00,16/06/2015 08:50:00,34.000
CONDUCTIVITY,27/02/2008 16:55:00,15/10/2014 13:05:00,51.000
WQ_CAR_DIC,11/09/2012 15:10:00,15/10/2014 13:05:00,28.000
WQ_GEO_CL,11/09/2012 15:10:00,02/10/2014 00:00:00,27.000
WQ_CAR_PH,27/02/2008 16:55:00,15/10/2014 13:05:00,33.000
TEMP,27/02/2008 16:55:00,16/06/2015 08:50:00,36.000
WQ_OGM_DON,21/07/2014 00:00:00,02/10/2014 00:00:00,17.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,288.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,288.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,288.000
WQ_PHS_FRPADS,21/07/2014 00:00:00,02/10/2014 00:00:00,17.000
PH,21/07/2014 12:52:00,16/06/2015 08:50:00,20.000
SAL,27/02/2008 16:55:00,15/10/2014 13:05:00,51.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,288.000
WQ_DIAG_PHY_TCHLA,21/07/2014 12:52:00,16/06/2015 08:50:00,20.000
WQ_DIAG_TOT_TSS,11/09/2012 15:10:00,16/06/2015 08:50:00,56.000
WQ_TRC_SS1,11/09/2012 15:10:00,16/06/2015 08:50:00,56.000
ON,21/07/2014 00:00:00,02/10/2014 00:00:00,18.000
OP,21/07/2014 00:00:00,02/10/2014 00:00:00,18.000
WQ_PHY_BGA,21/07/2014 12:52:00,16/06/2015 08:50:00,20.000
WQ_PHY_FDIAT,21/07/2014 12:52:00,16/06/2015 08:50:00,20.000
WQ_PHY_MDIAT,21/07/2014 12:52:00,16/06/2015 08:50:00,20.000
WQ_PHY_KARLO,21/07/2014 12:52:00,16/06/2015 08:50:00,20.000
ALGAL_TOTAL,14/07/2014 00:00:00,20/01/2015 00:00:00,6.000
BGA,14/07/2014 00:00:00,20/01/2015 00:00:00,6.000
GEOSMIN,14/07/2014 00:00:00,20/01/2015 00:00:00,6.000
