Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,21/07/2014 00:00:00,08/06/2016 09:48:00,58.000
WQ_PHY_GRN,08/10/2015 10:55:00,08/06/2016 09:48:00,60.000
WQ_OGM_DOC,05/01/2016 09:50:00,08/06/2016 09:48:00,12.000
WQ_PHS_FRP,21/07/2014 00:00:00,08/06/2016 09:48:00,58.000
WQ_NIT_NIT,21/07/2014 00:00:00,08/06/2016 09:48:00,58.000
WQ_DIAG_TOT_TP,21/07/2014 00:00:00,08/06/2016 09:48:00,58.000
WQ_SIL_RSI,21/07/2014 00:00:00,08/06/2016 09:48:00,58.000
WQ_DIAG_TOT_TKN,21/07/2014 00:00:00,08/06/2016 09:48:00,58.000
WQ_DIAG_TOT_TN,21/07/2014 00:00:00,08/06/2016 09:48:00,58.000
WQ_DIAG_TOT_TURBIDITY,21/07/2014 00:00:00,08/06/2016 09:48:00,65.000
WQ_OXY_OXY,21/07/2014 11:30:00,15/10/2014 10:20:00,7.000
CONDUCTIVITY,27/02/2008 15:35:00,15/10/2014 10:20:00,14.000
WQ_CAR_DIC,21/07/2014 11:30:00,15/10/2014 10:20:00,7.000
WQ_GEO_CL,21/07/2014 00:00:00,02/10/2014 00:00:00,6.000
WQ_CAR_PH,27/02/2008 15:35:00,15/10/2014 10:20:00,8.000
SAL,27/02/2008 15:35:00,15/10/2014 10:20:00,14.000
TEMP,27/02/2008 15:35:00,15/10/2014 10:20:00,8.000
WQ_OGM_DON,21/07/2014 00:00:00,02/10/2014 00:00:00,6.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_PHS_FRPADS,21/07/2014 00:00:00,02/10/2014 00:00:00,6.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2015 00:00:00,96.000
WQ_DIAG_TOT_TSS,21/07/2014 00:00:00,15/10/2014 10:20:00,13.000
WQ_TRC_SS1,21/07/2014 00:00:00,15/10/2014 10:20:00,13.000
ON,21/07/2014 00:00:00,02/10/2014 00:00:00,6.000
OP,21/07/2014 00:00:00,02/10/2014 00:00:00,6.000
