Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2008 13:45:00,29/06/2016 08:53:00,456.000
WQ_OGM_DOC,03/06/2008 12:55:00,29/06/2016 08:53:00,189.000
WQ_OXY_OXY,29/06/2011 07:31:00,29/06/2016 08:53:00,260.000
WQ_NIT_NIT,20/10/2009 12:27:00,26/06/2013 10:12:00,49.000
WQ_PHS_FRP,20/10/2009 12:27:00,26/06/2013 10:12:00,64.000
WQ_DIAG_TOT_TP,20/10/2009 12:27:00,26/06/2013 10:12:00,63.000
WQ_DIAG_TOT_TKN,20/10/2009 12:27:00,26/06/2013 10:12:00,49.000
TEMP,09/01/2008 10:23:00,29/06/2016 08:53:00,443.000
WQ_DIAG_TOT_TDS,03/01/2008 13:45:00,29/06/2016 08:53:00,456.000
WQ_DIAG_TOT_TURBIDITY,09/01/2008 10:23:00,29/06/2016 08:53:00,224.000
WQ_CAR_PH,26/03/2008 08:53:00,29/06/2016 08:53:00,257.000
