Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2008 10:45:00,29/06/2016 08:20:00,456.000
WQ_DIAG_TOT_TDS,04/01/2008 10:45:00,29/06/2016 08:20:00,456.000
WQ_CAR_PH,25/03/2009 08:35:00,29/06/2016 08:20:00,265.000
WQ_OGM_DOC,17/12/2008 08:50:00,29/06/2016 08:20:00,174.000
WQ_OXY_OXY,29/06/2011 09:22:00,29/06/2016 08:20:00,260.000
TEMP,12/03/2008 08:58:00,29/06/2016 08:20:00,431.000
WQ_DIAG_TOT_TURBIDITY,17/12/2008 08:50:00,29/06/2016 08:20:00,207.000
WQ_NIT_NIT,21/10/2009 10:11:00,26/06/2013 09:12:00,49.000
WQ_PHS_FRP,21/10/2009 10:11:00,26/06/2013 09:12:00,59.000
WQ_DIAG_TOT_TP,21/10/2009 10:11:00,26/06/2013 09:12:00,59.000
WQ_DIAG_TOT_TKN,21/10/2009 10:11:00,26/06/2013 09:12:00,49.000
