Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2008 07:30:00,29/06/2016 13:15:00,456.000
WQ_OGM_DOC,23/12/2008 12:30:00,29/06/2016 13:15:00,179.000
WQ_OXY_OXY,24/11/2010 12:45:00,29/06/2016 13:15:00,262.000
WQ_NIT_NIT,21/10/2009 14:48:00,05/06/2013 13:05:00,47.000
WQ_PHS_FRP,21/10/2009 14:48:00,05/06/2013 13:05:00,62.000
WQ_DIAG_TOT_TP,21/10/2009 14:48:00,05/06/2013 13:05:00,62.000
WQ_DIAG_TOT_TKN,21/10/2009 14:48:00,05/06/2013 13:05:00,47.000
TEMP,09/01/2008 12:35:00,29/06/2016 13:15:00,459.000
WQ_DIAG_TOT_TDS,04/01/2008 07:30:00,29/06/2016 13:15:00,456.000
WQ_DIAG_TOT_TURBIDITY,09/01/2008 12:35:00,29/06/2016 13:15:00,236.000
WQ_CAR_PH,26/03/2008 10:51:00,29/06/2016 13:15:00,239.000
