Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2008 09:40:00,29/06/2016 09:10:00,432.000
WQ_OGM_DOC,18/12/2008 12:14:00,29/06/2016 09:10:00,160.000
WQ_OXY_OXY,25/11/2010 10:22:00,29/06/2016 09:10:00,255.000
WQ_NIT_NIT,30/06/2011 10:20:00,27/06/2013 10:53:00,27.000
WQ_PHS_FRP,30/06/2011 10:20:00,27/06/2013 10:53:00,27.000
WQ_DIAG_TOT_TP,30/06/2011 10:20:00,27/06/2013 10:53:00,27.000
WQ_DIAG_TOT_TKN,30/06/2011 10:20:00,27/06/2013 10:53:00,27.000
TEMP,13/03/2008 11:21:00,29/06/2016 09:10:00,423.000
WQ_DIAG_TOT_TDS,03/01/2008 09:40:00,29/06/2016 09:10:00,432.000
WQ_DIAG_TOT_TURBIDITY,18/12/2008 12:14:00,29/06/2016 09:10:00,160.000
WQ_CAR_PH,27/03/2009 09:55:00,29/06/2016 09:10:00,233.000
