Variable Name,Min Date,Max Date,Number of Samples
SAL,07/01/2008 08:00:00,28/06/2016 08:37:00,372.000
WQ_OGM_DOC,16/02/2010 00:00:00,28/06/2016 08:37:00,327.000
WQ_NIT_NIT,28/06/2010 00:00:00,28/06/2016 08:37:00,260.000
WQ_PHS_FRP,16/02/2010 00:00:00,28/06/2016 08:37:00,275.000
WQ_DIAG_TOT_TP,16/02/2010 00:00:00,28/06/2016 08:37:00,274.000
WQ_DIAG_TOT_TKN,28/06/2010 00:00:00,28/06/2016 08:37:00,259.000
TEMP,05/08/2008 08:44:00,25/06/2013 08:27:00,245.000
WQ_DIAG_TOT_TDS,07/01/2008 08:00:00,28/06/2016 08:37:00,372.000
WQ_DIAG_TOT_TURBIDITY,01/01/2008 00:00:00,28/06/2016 08:37:00,449.000
WQ_CAR_PH,01/01/2008 00:00:00,25/06/2013 08:27:00,295.000
