Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2008 09:39:00,28/06/2016 14:01:00,499.000
WQ_OGM_DOC,03/01/2008 09:39:00,28/06/2016 14:01:00,448.000
WQ_PHS_FRP,03/01/2008 09:39:00,28/06/2016 14:01:00,448.000
WQ_DIAG_TOT_TP,03/01/2008 09:39:00,28/06/2016 14:01:00,448.000
WQ_SIL_RSI,03/01/2008 09:39:00,28/06/2016 14:01:00,443.000
WQ_DIAG_TOT_TKN,03/01/2008 09:39:00,28/06/2016 14:01:00,443.000
TEMP,03/01/2008 09:39:00,28/06/2016 14:01:00,443.000
WQ_DIAG_TOT_TDS,03/01/2008 09:39:00,28/06/2016 14:01:00,499.000
WQ_DIAG_TOT_TURBIDITY,03/01/2008 09:39:00,28/06/2016 14:01:00,448.000
WQ_CAR_PH,03/01/2008 09:39:00,28/06/2016 14:01:00,448.000
